t,p0,p1,p2,p3,p4
0,76,71,98,7,76
30,76,71,98,7,76
60,76,71,98,7,76
90,76,71,36,7,76
120,76,71,36,7,76
150,76,71,36,7,76
180,76,71,36,7,76
210,76,71,36,79,76
240,76,71,36,79,76
270,76,71,36,79,76
300,76,71,36,79,76
330,76,71,36,79,76
360,76,71,36,8,76
390,76,71,36,8,76
420,76,56,36,19,76
450,76,56,36,19,76
480,76,56,36,19,76
510,76,56,80,19,76
540,76,56,80,66,76
570,76,56,80,66,76
600,76,56,4,66,76
630,76,56,4,66,76
660,76,56,4,70,76
690,76,43,9,70,76
720,76,43,9,70,76
750,76,43,9,70,76
780,76,43,80,70,76
810,76,43,80,70,76
840,76,43,80,70,76
870,76,43,80,70,76
900,76,43,80,70,76
930,76,43,80,70,76
960,76,43,80,66,76
990,76,43,80,66,76
1020,76,43,80,66,76
1050,76,43,80,66,76
1080,76,43,66,66,76
1110,76,43,66,66,76
1140,76,43,66,66,76
1170,76,43,66,66,76
1200,76,43,66,66,76
1230,76,43,66,66,76
1260,76,43,40,66,76
1290,76,43,40,66,76
1320,76,43,40,66,76
1350,76,43,40,70,76
1380,76,43,40,70,76
1410,76,43,40,70,76
1440,76,43,40,70,76
1470,76,43,40,70,76
1500,76,43,70,70,76
1530,76,43,70,70,76
1560,76,43,70,70,76
1590,76,43,80,70,76
1620,76,43,80,70,76
1650,76,43,70,70,76
1680,76,43,70,70,76
1710,76,43,70,70,76
1740,76,43,40,70,76
1770,76,43,40,70,76
1800,76,43,40,70,76
1830,76,43,40,70,76
1860,76,43,40,70,76
1890,76,43,84,70,76
1920,76,38,84,70,76
1950,76,38,84,70,76
1980,76,38,84,70,76
2010,76,38,84,40,76
2040,76,38,84,40,76
2070,76,38,84,40,76
2100,76,38,84,40,76
2130,76,38,84,40,76
2160,76,38,84,40,76
2190,76,43,15,40,76
2220,76,43,15,66,76
2250,76,43,15,66,76
2280,76,43,15,66,76
2310,76,43,15,66,76
2340,76,43,15,66,76
2370,76,56,81,66,76
2400,76,56,81,66,76
2430,76,56,81,66,76
2460,76,56,81,66,76
2490,76,56,81,66,76
2520,76,56,81,66,76
2550,76,56,81,66,76
2580,76,56,54,19,76
2610,76,56,54,19,76
2640,76,56,54,8,76
2670,76,56,54,8,76
2700,76,56,54,19,76
2730,76,56,32,19,76
2760,76,56,32,19,76
2790,76,56,32,19,76
2820,76,56,32,19,76
2850,76,56,32,36,76
2880,76,43,32,36,76
2910,76,43,32,36,76
2940,76,43,32,36,76
2970,76,43,32,36,76
3000,76,43,32,36,76
3030,76,43,32,36,76
3060,76,43,32,9,76
3090,76,43,32,9,76
3120,76,43,32,9,76
3150,76,43,32,9,76
3180,76,67,32,9,76
3210,76,67,32,9,76
3240,76,67,32,9,76
3270,76,67,54,9,76
3300,76,67,54,9,76
3330,76,67,54,9,76
3360,76,67,54,9,76
3390,76,67,54,9,76
3420,76,67,54,9,76
3450,76,67,47,9,76
3480,76,67,47,9,76
3510,76,67,47,9,76
