id,x0,y0,x1,y1
99,158,112,148,112
99,152,96,148,98
99,176,84,172,86
99,114,110,110,108
99,114,112,108,112
99,118,112,116,112
99,118,112,112,110
99,92,100,88,98
99,98,110,96,110
99,106,108,100,106
99,146,118,144,116
99,144,116,144,116
99,152,146,146,140
99,168,118,170,120
99,146,116,144,116
99,128,108,124,110
99,148,142,144,138
99,160,118,158,116
99,156,112,150,112
99,148,116,146,116
99,170,120,168,118
99,108,108,104,106
99,94,88,90,84
99,152,130,148,128
99,92,100,88,98
99,110,110,108,110
99,174,122,176,120
99,176,120,176,122
99,162,112,158,112
99,168,118,170,120
99,176,84,172,86
99,102,104,98,102
99,116,112,114,112
99,176,120,176,122
99,166,120,166,118
99,172,120,172,122
99,176,120,178,120
99,114,112,112,112
99,104,110,102,110
99,174,120,172,120
99,154,124,148,122
99,156,112,150,112
99,110,112,102,112
99,118,112,118,112
99,104,106,100,104
99,110,112,104,112
99,174,112,166,112
99,80,106,78,106
99,78,106,76,106
99,94,110,92,110
99,86,112,82,112
99,100,112,94,112
99,118,112,118,112
99,110,110,108,112
99,100,112,90,112
99,92,112,88,112
99,94,100,90,98
99,108,112,102,112
99,92,126,88,128
99,164,120,164,118
99,156,112,150,112
99,158,112,148,112
99,94,100,90,98
99,78,108,76,108
99,110,112,102,112
99,108,110,106,110
99,104,110,102,110
99,102,110,100,110
99,76,106,74,106
99,76,106,74,108
99,82,94,78,92
99,78,106,76,108
99,114,112,112,112
99,164,120,164,118
99,178,122,176,120
99,178,120,178,122
99,176,118,174,120
99,152,130,148,128
99,120,112,118,112
99,174,112,170,112
99,156,118,156,116
99,160,118,160,118
99,178,122,176,120
99,144,116,142,114
99,170,120,168,118
99,176,122,178,120
99,174,120,174,118
99,176,122,176,120
99,162,112,158,112
99,114,112,112,112
99,128,108,124,110
99,166,120,166,118
99,92,126,88,128
99,168,112,160,112
99,122,112,120,112
99,128,108,124,110
99,170,122,168,120
99,168,120,168,118
99,168,118,170,120
99,108,110,106,110
99,96,124,92,126
99,176,122,174,120
99,174,120,176,120
99,176,120,178,120
99,178,120,178,122
99,152,96,148,98
99,98,102,94,100
99,170,122,170,120
99,170,120,170,120
99,170,120,172,122
99,176,142,172,140
98,174,82,172,86
98,174,88,174,98
98,174,98,172,100
98,166,96,164,98
98,164,98,168,94
98,168,94,170,90
98,174,88,172,90
98,168,94,166,96
98,154,90,154,84
98,166,96,164,98
98,156,98,156,104
98,158,106,158,112
98,148,112,140,122
98,156,92,156,86
98,114,156,116,154
98,134,158,132,162
98,122,170,124,166
98,174,94,174,104
98,120,88,122,90
98,78,80,82,82
98,80,82,84,84
98,112,100,108,98
98,72,78,76,80
98,124,142,122,144
98,140,124,144,120
98,170,92,168,94
98,116,108,122,110
98,132,132,130,134
98,114,136,118,134
98,82,82,86,84
98,170,84,168,88
98,168,94,166,96
98,154,88,154,82
98,154,80,154,90
98,150,86,150,88
98,146,94,146,90
98,168,88,170,84
98,158,90,158,96
98,158,96,156,100
98,148,100,148,98
98,154,100,154,108
98,154,108,154,104
98,156,104,158,100
98,156,96,156,92
98,154,92,154,88
98,156,94,156,98
98,158,100,158,112
98,156,116,158,112
98,158,112,156,106
98,156,106,154,98
98,154,98,154,86
98,152,84,152,80
98,154,80,154,88
98,130,96,128,94
98,170,90,168,94
98,168,94,166,96
98,138,124,142,120
98,88,88,92,90
98,118,154,122,150
98,134,148,132,152
98,130,154,134,146
98,132,162,130,166
98,128,142,124,146
98,116,156,122,150
98,126,144,124,146
98,156,94,156,86
98,148,78,148,76
98,136,100,132,96
98,94,116,96,116
98,124,144,122,146
98,120,146,124,142
98,144,112,146,114
98,152,114,152,110
98,156,106,158,104
98,134,126,142,122
98,142,122,144,120
98,156,104,158,100
98,166,98,168,96
98,154,98,154,104
98,164,100,166,98
98,156,86,156,106
98,134,126,138,124
98,124,164,126,160
98,100,166,108,158
98,116,156,120,152
98,132,166,128,176
98,98,172,96,174
98,156,76,156,74
98,166,80,168,76
98,132,88,134,92
98,142,110,144,112
98,144,104,142,100
98,82,92,88,94
98,140,136,142,132
98,122,140,124,138
98,136,128,138,126
98,116,100,112,98
98,108,98,112,100
98,124,146,122,148
98,116,156,112,160
98,122,144,124,142
98,138,124,134,128
