t,p0,p1,p2,p3,p4
0,50,17,1,85,17
30,50,17,21,85,17
60,1,17,21,85,17
90,21,17,21,85,17
120,21,17,24,85,17
150,24,17,24,85,17
180,24,17,25,85,17
210,25,17,25,85,17
240,25,17,26,85,17
270,91,17,26,85,17
300,91,17,34,85,17
330,91,7,34,85,7
360,91,85,34,85,85
390,38,85,34,85,85
420,38,85,64,85,85
450,38,85,64,85,85
480,38,85,64,85,85
510,38,42,64,85,85
540,38,42,64,85,42
570,38,42,70,85,42
600,38,42,70,85,42
630,38,42,2,85,42
660,38,42,2,2,42
690,38,42,2,2,42
720,43,42,2,2,42
750,43,42,2,2,42
780,31,42,2,42,42
810,31,42,2,42,42
840,31,42,2,42,2
870,43,42,42,42,42
900,43,42,42,42,42
930,43,42,2,42,42
960,38,42,2,42,42
990,38,42,42,42,42
1020,38,42,42,42,42
1050,38,42,42,42,42
1080,38,77,42,42,42
1110,38,77,42,77,42
1140,38,77,77,77,42
1170,38,77,77,77,42
1200,38,77,77,77,42
1230,38,77,77,77,42
1260,38,77,77,77,42
1290,38,77,77,77,42
1320,38,77,77,77,42
1350,38,56,56,77,42
1380,38,56,56,77,42
1410,38,56,56,77,42
1440,38,56,56,77,42
1470,38,56,56,77,42
1500,38,56,56,56,42
1530,38,56,56,56,42
1560,38,56,56,56,42
1590,38,56,56,56,42
1620,38,56,56,56,42
1650,38,56,56,33,42
1680,38,56,56,33,42
1710,38,56,56,77,42
1740,35,56,56,77,42
1770,35,56,56,77,42
1800,11,56,56,77,42
1830,11,56,56,77,42
1860,11,56,56,77,42
1890,11,56,56,33,42
1920,11,56,56,33,42
1950,89,56,56,33,42
1980,89,56,56,33,42
2010,89,56,56,33,42
2040,89,56,56,33,42
2070,89,56,56,15,42
2100,89,56,56,15,42
2130,35,56,56,64,42
2160,35,56,56,64,42
2190,35,56,56,64,42
2220,35,56,56,64,42
2250,4,56,56,64,42
2280,4,56,56,64,42
2310,69,56,56,64,42
2340,69,56,56,64,42
2370,69,56,56,64,42
2400,69,56,56,17,42
2430,69,56,56,17,42
2460,69,56,56,85,42
2490,69,77,42,85,42
2520,25,77,42,85,42
2550,25,42,42,85,42
2580,44,42,42,85,42
2610,44,2,42,85,47
2640,44,2,42,85,47
2670,44,83,42,85,47
2700,44,83,28,85,47
2730,76,83,28,85,47
2760,76,83,28,85,47
2790,76,83,28,85,47
2820,76,83,28,85,47
2850,76,64,28,85,73
2880,76,64,28,85,73
2910,76,64,28,66,73
2940,92,64,28,66,73
2970,92,39,28,66,73
3000,6,39,28,66,73
3030,6,5,28,66,73
3060,6,5,28,66,73
3090,6,5,28,66,73
3120,6,5,28,66,3
3150,6,5,28,66,3
3180,6,5,66,66,48
3210,6,5,66,66,48
