t,p0,p1,p2,p3,p4
0,165,70,186,70,70
30,165,70,63,70,70
60,28,70,55,70,70
90,88,70,55,70,70
120,88,70,55,70,70
150,55,70,55,70,70
180,55,70,80,70,70
210,88,70,80,70,70
240,88,70,68,70,70
270,15,70,68,70,70
300,15,70,68,70,70
330,15,31,68,70,31
360,15,69,68,70,69
390,107,70,68,70,69
420,107,70,41,70,69
450,107,70,41,70,69
480,107,70,68,70,69
510,71,166,68,70,69
540,71,166,68,69,148
570,71,166,43,69,148
600,71,166,43,70,148
630,71,166,195,70,148
660,71,75,195,3,148
690,71,75,195,3,148
720,178,66,26,166,26
750,178,66,26,166,26
780,71,75,26,166,75
810,71,65,26,166,75
840,71,65,48,75,166
870,71,65,53,75,75
900,71,65,53,75,53
930,71,65,3,75,53
960,71,65,3,75,166
990,71,65,75,75,166
1020,71,65,75,75,75
1050,71,65,75,66,75
1080,71,75,75,66,26
1110,71,75,75,75,148
1140,71,75,75,75,148
1170,71,75,75,75,148
1200,71,75,75,75,148
1230,71,75,75,75,148
1260,71,75,75,75,148
1290,71,75,75,75,148
1320,71,75,75,75,148
1350,71,75,75,75,148
1380,71,75,75,75,148
1410,71,75,75,75,148
1440,71,112,75,75,148
1470,64,112,75,75,148
1500,64,112,75,75,166
1530,64,112,75,75,166
1560,64,112,112,75,166
1590,64,112,112,75,166
1620,64,112,112,75,166
1650,95,112,112,75,166
1680,95,112,112,75,166
1710,199,112,112,126,166
1740,199,112,112,126,166
1770,199,112,112,126,166
1800,184,112,112,126,166
1830,184,112,112,126,166
1860,184,112,112,126,166
1890,36,112,112,126,166
1920,36,112,112,126,166
1950,36,112,112,126,166
1980,36,112,112,139,166
2010,100,112,112,139,166
2040,100,112,112,139,166
2070,100,112,112,110,166
2100,158,112,112,110,166
2130,100,112,65,132,166
2160,100,112,112,132,166
2190,100,112,112,132,166
2220,100,112,112,132,166
2250,135,112,112,132,53
2280,135,112,112,132,53
2310,29,112,112,132,53
2340,29,112,112,132,53
2370,29,75,112,132,53
2400,29,75,112,70,53
2430,29,75,112,70,53
2460,39,75,112,70,53
2490,39,75,153,70,53
2520,80,75,153,70,53
2550,80,75,153,70,148
2580,88,75,153,104,53
2610,88,26,153,104,146
2640,15,26,57,31,146
2670,15,26,57,31,146
2700,56,26,189,111,146
2730,20,59,189,154,146
2760,20,59,57,154,146
2790,20,26,57,154,146
2820,0,26,168,154,146
2850,0,59,168,154,87
2880,19,59,168,154,185
2910,0,59,168,188,185
2940,46,179,189,188,185
2970,115,150,189,188,185
3000,46,150,189,188,185
3030,196,116,189,188,185
3060,122,116,189,188,185
3090,122,116,189,188,185
3120,196,116,189,188,11
3150,196,116,189,188,11
3180,196,116,153,188,156
3210,196,116,153,188,156
3240,196,116,153,192,156
3270,196,116,153,192,156
3300,196,116,153,192,156
3330,196,116,153,192,156
3360,196,116,153,192,156
3390,196,116,189,192,156
3420,196,11,189,189,156
3450,196,11,189,189,156
3480,196,156,189,189,156
3510,196,156,189,189,156
3540,196,156,189,189,156
3570,196,156,189,189,156
3600,196,156,189,189,129
3630,196,156,189,189,129
3660,196,156,189,189,129
3690,196,156,189,189,172
3720,196,156,189,189,172
3750,45,156,189,189,172
3780,45,156,189,189,172
3810,45,156,189,189,172
3840,196,156,189,189,172
3870,196,156,189,189,172
3900,45,156,189,153,172
3930,45,156,189,153,172
3960,45,156,189,189,172
3990,45,156,153,189,172
4020,196,156,189,33,129
4050,196,156,189,33,129
4080,196,156,192,33,129
4110,196,129,192,33,129
4140,196,172,192,33,129
4170,196,172,192,33,129
4200,196,172,33,192,172
4230,196,172,33,192,129
4260,196,172,33,192,129
4290,45,172,33,192,129
4320,45,172,33,192,129
4350,45,172,33,192,129
4380,45,172,33,192,172
4410,45,172,33,192,172
4440,45,172,33,192,120
4470,45,172,33,192,120
4500,45,172,33,192,51
4530,45,172,33,192,51
4560,45,172,33,192,51
4590,45,172,33,33,51
4620,45,172,33,33,51
4650,45,156,33,33,51
4680,45,156,33,33,51
4710,45,156,33,33,51
4740,45,156,33,33,51
4770,196,51,33,33,51
4800,196,129,33,192,51
4830,196,129,33,192,172
4860,45,129,33,192,172
4890,45,51,33,189,129
4920,45,51,33,188,129
4950,45,51,33,188,129
4980,45,51,33,188,129
5010,45,51,192,188,87
5040,45,51,192,188,87
5070,45,51,192,188,87
5100,45,51,192,33,87
5130,45,51,192,33,185
5160,157,51,192,188,51
5190,157,51,192,188,51
5220,45,23,192,188,51
5250,45,23,192,189,51
5280,45,23,192,189,51
5310,45,23,189,189,87
5340,45,23,189,189,87
5370,45,23,189,189,23
5400,45,23,189,189,23
5430,45,51,189,189,23
5460,45,51,189,189,51
5490,45,51,153,189,51
5520,45,51,189,189,51
5550,45,11,189,189,51
5580,45,11,189,189,87
5610,45,51,189,189,87
5640,157,51,192,189,87
5670,157,51,192,189,87
5700,157,51,189,189,87
5730,157,23,189,189,87
5760,157,23,189,189,87
5790,157,23,189,189,87
5820,157,23,189,189,87
5850,157,23,189,189,87
5880,157,23,189,57,87
5910,157,23,76,57,87
5940,157,23,76,168,87
5970,157,23,76,168,87
6000,157,23,75,168,87
6030,157,23,75,189,87
6060,157,23,75,189,87
6090,157,23,75,189,87
6120,157,23,75,189,87
6150,157,23,75,189,87
6180,157,23,75,189,87
6210,157,51,75,189,87
6240,157,11,75,189,87
6270,157,11,75,189,87
6300,196,87,75,189,87
6330,196,87,75,189,87
6360,122,87,65,189,87
6390,122,11,65,153,87
6420,122,11,65,153,87
6450,122,23,65,27,87
6480,122,23,65,27,87
6510,122,23,65,27,87
6540,122,51,65,27,87
6570,122,87,65,27,87
6600,196,87,65,33,185
6630,196,185,65,33,185
6660,196,185,75,188,185
6690,196,185,75,188,185
6720,196,185,75,188,185
6750,196,185,75,188,185
6780,196,185,75,188,51
6810,196,11,75,188,51
6840,196,11,75,188,51
6870,196,11,75,188,11
6900,196,11,75,188,11
6930,196,129,75,188,129
6960,196,129,75,188,129
6990,196,129,75,188,129
7020,196,129,75,188,129
7050,45,129,75,188,129
7080,45,129,65,188,129
7110,196,129,65,188,129
7140,196,120,27,33,129
7170,196,120,27,33,129
7200,196,120,27,188,129
7230,196,129,27,188,129
7260,196,129,27,188,129
7290,196,172,27,188,129
7320,196,172,153,27,172
7350,46,172,153,27,172
7380,46,172,153,27,172
7410,196,172,153,153,172
7440,196,172,153,153,172
7470,196,129,153,153,172
7500,45,129,153,153,172
7530,45,129,189,153,156
7560,45,129,153,153,172
7590,45,129,153,153,172
7620,45,129,153,153,172
7650,45,129,153,153,156
7680,45,129,168,153,156
7710,45,129,168,153,156
7740,45,129,189,192,129
7770,45,129,189,192,129
7800,45,129,189,192,172
7830,45,129,189,192,172
7860,45,129,189,192,129
7890,45,129,153,192,129
7920,45,129,153,192,129
7950,45,129,153,192,129
7980,45,129,153,192,129
8010,45,129,153,192,129
8040,45,129,153,192,129
8070,45,129,153,192,172
8100,196,129,153,192,172
8130,45,172,75,192,129
8160,44,172,75,192,156
8190,44,172,91,192,129
8220,191,172,91,192,87
8250,191,51,27,192,87
8280,191,51,27,192,87
8310,191,51,27,192,87
8340,191,51,65,192,87
8370,191,51,188,192,87
8400,191,146,188,192,87
8430,191,146,188,192,87
8460,191,146,188,192,87
8490,191,103,27,189,185
8520,191,103,27,189,185
8550,191,103,27,189,185
8580,191,185,27,153,185
8610,191,185,65,153,185
8640,117,11,65,189,185
8670,117,11,91,189,51
8700,117,11,91,189,51
8730,117,11,91,189,51
8760,161,11,91,189,51
8790,161,11,91,189,23
8820,86,129,91,189,23
8850,61,129,91,189,51
8880,61,129,91,189,51
8910,86,129,91,189,51
8940,86,129,91,189,51
8970,86,129,91,33,51
9000,35,129,91,33,51
9030,35,129,69,33,51
9060,83,129,91,33,51
9090,83,129,91,192,129
9120,134,129,91,189,129
9150,134,129,65,189,172
9180,134,129,75,153,172
9210,134,129,75,153,172
9240,134,172,166,189,172
9270,134,172,75,189,172
9300,134,11,75,189,11
9330,109,11,75,189,11
9360,109,11,57,189,146
