t,p0,p1,p2,p3,p4
0,79,160,69,193,193
30,79,160,69,193,193
60,79,165,69,193,193
90,79,165,69,193,193
120,79,165,69,193,193
150,79,28,69,193,193
180,79,28,69,193,193
210,79,41,69,56,193
240,132,55,69,56,193
270,132,80,69,19,15
300,132,80,69,19,15
330,132,88,69,115,15
360,132,20,69,115,184
390,132,20,69,115,184
420,132,20,69,46,184
450,41,155,69,44,36
480,41,143,188,44,36
510,132,143,188,44,36
540,132,143,154,9,36
570,132,143,154,9,36
600,132,143,154,9,36
630,132,143,154,42,16
660,132,132,154,42,16
690,132,132,154,184,16
720,43,191,154,36,16
750,43,191,154,36,16
780,43,88,154,36,16
810,43,88,92,36,16
840,43,191,92,36,16
870,26,191,92,102,16
900,26,191,27,102,16
930,26,191,92,121,16
960,26,191,92,121,146
990,26,191,92,51,14
1020,59,191,48,51,14
1050,59,191,48,51,102
1080,132,191,48,51,102
1110,132,191,48,51,102
1140,132,143,48,177,102
1170,132,143,48,177,121
1200,132,143,48,177,121
1230,132,142,92,51,121
1260,132,142,92,23,121
1290,132,165,92,23,121
1320,132,165,118,23,121
1350,132,165,118,121,51
1380,132,165,118,121,177
1410,42,165,118,51,177
1440,42,165,48,51,146
1470,184,165,48,51,146
1500,184,165,48,51,146
1530,36,28,48,51,17
1560,36,88,126,51,100
1590,36,88,126,52,100
1620,36,88,126,51,100
1650,36,88,139,51,100
1680,184,88,139,51,100
1710,184,88,110,177,36
1740,36,88,110,177,36
1770,36,88,110,121,36
1800,71,88,110,103,36
1830,36,88,110,103,36
1860,36,88,197,121,36
1890,36,88,197,121,36
1920,36,88,9,121,36
1950,36,88,9,121,100
1980,16,88,42,121,100
2010,16,88,184,16,100
2040,16,88,184,16,100
2070,16,88,36,16,100
2100,16,88,36,16,100
2130,16,88,36,16,100
2160,16,88,36,14,100
2190,16,88,36,14,100
2220,14,88,36,14,100
2250,16,88,16,14,100
2280,121,88,16,121,159
2310,121,88,16,121,159
2340,121,88,16,121,85
2370,121,88,14,121,85
2400,121,88,14,121,85
2430,17,88,121,121,85
2460,146,88,121,121,113
2490,146,88,121,121,113
2520,146,88,121,121,132
2550,175,55,51,121,68
2580,175,55,51,121,68
2610,175,88,51,146,68
2640,175,88,52,146,195
2670,98,15,52,146,195
2700,98,88,120,146,195
2730,98,42,120,98,109
2760,181,42,120,98,109
2790,181,56,120,40,109
2820,181,147,120,40,3
2850,175,147,120,40,3
2880,175,147,8,40,48
2910,40,46,8,101,48
2940,137,46,8,101,92
2970,137,46,8,101,92
3000,23,115,8,101,153
3030,23,46,51,101,153
3060,185,196,51,51,153
3090,185,122,51,51,153
3120,185,122,51,51,153
3150,185,196,51,51,153
3180,185,196,51,51,153
3210,11,45,51,51,153
3240,11,45,51,51,153
3270,156,45,51,51,192
3300,156,45,51,51,189
3330,156,45,51,51,189
3360,11,45,120,51,189
3390,129,45,120,51,189
3420,129,45,51,51,189
3450,156,45,51,51,189
3480,156,45,156,51,189
3510,129,196,156,51,189
3540,129,196,156,51,153
3570,129,45,156,11,153
3600,172,44,129,11,153
3630,172,44,129,11,153
3660,11,44,129,120,189
3690,11,44,172,120,192
3720,11,119,172,120,192
3750,11,119,156,51,192
3780,11,45,156,51,192
3810,11,45,156,51,192
3840,11,45,51,51,192
3870,11,45,51,51,189
3900,11,45,120,51,189
3930,11,196,120,129,189
3960,11,196,51,129,189
3990,11,196,51,129,189
4020,11,196,177,129,33
4050,11,196,177,129,33
4080,87,196,51,129,33
4110,87,196,51,129,33
4140,87,196,51,129,189
4170,87,45,51,129,189
4200,87,45,51,129,153
4230,87,45,51,129,153
4260,87,45,23,129,153
4290,87,157,23,129,188
4320,87,196,23,129,188
4350,87,196,23,129,188
4380,51,196,51,129,33
4410,51,196,51,129,33
4440,51,46,51,129,192
4470,11,46,51,129,189
4500,11,44,51,129,189
4530,11,0,51,129,189
4560,11,0,51,129,189
4590,11,0,51,129,189
4620,11,0,51,129,189
4650,11,0,156,129,189
4680,156,0,156,129,189
4710,156,0,156,129,189
4740,156,0,156,129,189
4770,156,0,174,129,189
4800,129,0,174,129,189
4830,129,0,174,129,189
4860,174,0,174,174,189
4890,129,0,174,174,189
4920,129,147,174,174,189
4950,129,147,174,174,189
4980,156,147,174,174,189
5010,156,46,174,174,189
5040,156,46,174,129,189
5070,156,196,23,129,189
5100,156,196,23,129,189
5130,11,196,23,129,189
5160,11,196,23,129,189
5190,11,196,23,129,189
5220,11,196,23,129,189
5250,11,196,23,129,189
5280,11,196,23,129,189
5310,11,196,23,129,189
5340,11,196,23,174,189
5370,51,196,51,174,189
5400,51,196,51,156,189
5430,172,45,51,156,189
5460,172,45,51,156,189
5490,172,45,51,156,189
5520,172,45,23,156,189
5550,51,45,129,156,189
5580,51,45,129,174,189
5610,11,45,129,174,189
5640,11,45,129,174,153
5670,129,45,129,174,153
5700,129,45,129,81,153
5730,129,196,129,81,153
5760,129,196,129,172,153
5790,129,196,129,172,153
5820,129,196,129,129,153
5850,129,45,129,129,189
5880,129,45,37,129,189
5910,129,45,37,129,112
5940,129,45,129,52,112
5970,129,45,129,52,90
6000,129,45,129,52,90
6030,129,45,129,52,90
6060,129,45,129,52,90
6090,129,45,37,81,90
6120,129,45,37,8,90
6150,129,45,37,52,90
6180,37,157,52,151,90
6210,37,157,52,151,90
6240,129,157,52,151,90
6270,129,157,129,151,90
6300,129,157,129,151,90
6330,129,157,129,151,90
6360,129,157,129,81,90
6390,129,157,52,81,90
6420,129,157,52,81,90
6450,129,157,52,120,90
6480,52,45,52,120,90
6510,52,45,52,120,90
6540,129,45,52,120,90
6570,129,45,52,120,90
6600,11,119,177,120,90
6630,11,119,177,120,90
6660,11,119,177,120,90
6690,11,119,51,51,90
6720,129,119,172,51,90
6750,129,119,172,51,90
6780,129,119,11,172,90
6810,129,196,120,172,90
6840,129,196,120,129,90
6870,129,196,172,129,90
6900,172,157,172,51,90
6930,172,45,172,51,90
6960,172,45,156,51,90
6990,172,196,156,51,90
7020,172,196,129,51,90
7050,172,196,156,23,90
7080,172,196,156,23,90
7110,172,196,156,23,90
7140,172,196,156,120,90
7170,172,196,156,120,54
7200,51,196,156,120,54
7230,51,196,156,51,54
7260,23,196,87,120,54
7290,23,196,87,120,54
7320,23,38,87,129,54
7350,23,38,87,129,54
7380,23,46,87,129,54
7410,129,46,11,129,54
7440,129,46,11,129,54
7470,11,46,11,129,54
7500,11,122,11,172,54
7530,11,96,11,172,54
7560,11,96,11,172,54
7590,11,196,11,172,90
7620,172,196,11,172,90
7650,172,196,11,172,90
7680,11,196,11,172,90
7710,11,196,11,172,54
7740,11,45,51,172,54
7770,11,196,51,172,189
7800,11,157,51,172,189
7830,11,196,172,172,189
7860,51,196,172,172,189
7890,51,196,51,172,189
7920,51,196,51,172,189
7950,51,196,51,172,189
7980,51,45,51,6,189
8010,87,45,51,93,57
8040,87,45,51,23,57
8070,87,45,51,23,168
8100,87,45,51,23,168
8130,87,45,51,23,168
8160,87,45,51,23,189
8190,87,45,51,23,189
8220,87,196,51,23,168
8250,87,196,51,23,168
8280,87,196,51,23,168
8310,87,196,103,23,168
8340,87,196,103,23,168
8370,87,196,103,23,168
8400,87,196,103,51,168
8430,51,45,103,120,189
8460,51,45,146,51,189
8490,87,196,23,51,168
