t,p0,p1,p2,p3,p4
0,29,2,29,11,2
30,29,2,29,11,2
60,85,2,18,11,2
90,18,2,18,11,2
120,18,2,73,11,2
150,18,2,73,11,2
180,18,2,60,11,2
210,62,2,60,11,2
240,62,2,93,11,2
270,62,2,93,11,2
300,62,2,93,11,2
330,39,2,93,11,2
360,39,94,93,11,94
390,39,11,93,11,94
420,39,11,93,11,82
450,39,94,93,11,82
480,39,94,19,11,94
510,5,36,19,11,94
540,5,36,19,82,23
570,5,36,19,82,23
600,5,82,19,11,23
630,5,82,19,11,23
660,5,94,19,36,23
690,5,94,19,36,23
720,64,94,23,36,23
750,64,94,23,36,23
780,64,82,23,94,82
810,64,23,23,94,82
840,64,23,83,82,36
870,76,23,82,82,82
900,76,23,82,82,82
930,76,23,82,82,82
960,40,23,82,82,36
990,40,23,82,82,36
1020,40,23,82,82,82
1050,40,23,82,23,82
1080,40,82,82,23,23
1110,40,82,82,82,23
1140,40,82,82,82,23
1170,40,82,82,94,23
1200,40,94,94,94,97
1230,40,94,94,94,97
1260,40,94,94,94,97
1290,40,94,94,94,97
1320,40,94,94,94,97
1350,40,94,94,88,97
1380,40,94,94,88,97
1410,40,94,94,82,97
1440,40,94,94,82,97
1470,39,94,94,94,97
1500,39,94,94,94,23
1530,39,94,94,94,23
1560,39,94,94,94,23
1590,39,94,94,94,23
1620,39,94,94,94,23
1650,40,94,94,94,23
1680,40,94,94,94,23
1710,39,94,94,74,23
1740,39,94,94,74,23
1770,39,94,94,74,23
1800,52,94,94,74,23
1830,52,94,94,74,23
1860,52,94,94,74,23
1890,52,94,94,76,23
1920,52,94,94,83,23
1950,20,94,94,83,23
1980,20,94,94,83,23
2010,20,94,94,83,23
2040,20,94,94,83,23
2070,20,94,94,83,23
2100,92,94,94,83,23
2130,39,94,94,83,23
2160,39,94,94,19,23
2190,39,94,94,19,23
2220,39,94,94,19,23
2250,39,94,94,19,23
2280,39,94,94,19,23
2310,25,94,94,19,23
2340,25,94,94,19,23
2370,25,94,94,19,23
2400,25,94,94,19,23
2430,25,94,94,19,23
2460,25,94,94,19,23
2490,25,94,94,19,23
2520,25,94,94,19,23
2550,25,26,94,19,23
2580,60,26,94,95,94
2610,60,33,94,95,34
2640,62,33,97,95,34
2670,62,33,97,95,34
2700,62,33,94,95,34
2730,62,19,94,95,34
2760,62,19,61,95,34
2790,62,19,61,95,34
2820,27,19,61,95,34
2850,27,19,61,95,91
2880,90,19,61,95,58
2910,27,19,61,69,58
2940,90,93,38,69,58
2970,76,93,38,69,58
3000,90,93,38,69,58
3030,90,60,38,69,58
3060,96,60,38,69,58
3090,96,60,38,69,58
3120,96,60,38,69,56
3150,96,60,38,69,56
3180,96,60,38,69,56
3210,96,60,38,69,56
3240,96,60,38,69,56
3270,96,60,38,69,56
3300,96,60,38,38,56
3330,96,60,38,38,56
3360,96,60,38,65,56
3390,89,60,38,65,56
3420,89,56,38,38,56
3450,89,56,38,38,56
3480,89,75,38,38,56
3510,89,75,38,38,56
3540,89,75,38,38,56
3570,89,75,38,38,56
3600,96,75,38,65,55
3630,96,75,38,65,55
3660,96,75,38,38,55
3690,89,75,38,38,91
3720,89,75,38,38,91
3750,89,75,38,38,91
3780,96,75,38,38,91
3810,96,75,38,38,91
3840,89,75,38,38,91
3870,89,75,38,38,91
3900,89,75,38,38,91
3930,89,75,38,38,56
3960,89,75,38,38,56
3990,89,75,38,38,56
4020,76,75,38,57,55
4050,76,75,38,57,55
4080,76,75,65,57,55
4110,76,56,65,57,55
4140,76,91,57,57,56
4170,76,91,57,57,55
4200,96,91,57,35,91
4230,96,56,57,35,55
4260,96,56,57,35,55
4290,96,56,57,35,55
4320,96,56,57,57,55
4350,96,56,57,57,55
4380,96,56,57,57,91
4410,96,56,57,57,91
4440,96,56,57,57,75
4470,96,56,57,57,75
4500,96,56,57,57,75
4530,96,56,57,57,75
4560,76,56,57,57,75
4590,76,56,57,57,75
4620,76,56,57,57,75
4650,76,56,57,57,75
4680,76,56,57,57,75
4710,76,56,57,57,75
4740,76,56,57,57,75
4770,96,75,57,57,75
4800,96,55,57,38,75
4830,89,55,57,38,91
4860,89,55,57,38,91
4890,80,75,57,38,91
4920,80,75,57,69,91
4950,80,17,57,69,91
4980,80,17,57,69,91
5010,80,17,57,69,12
5040,80,17,57,69,12
5070,80,75,57,69,91
5100,80,75,38,38,91
5130,80,17,38,57,58
5160,80,17,38,69,58
5190,80,75,38,69,58
5220,89,91,38,69,58
5250,89,91,38,38,58
5280,89,91,38,38,58
5310,89,91,38,38,91
5340,89,91,38,38,91
5370,89,91,38,38,17
5400,89,91,38,38,17
5430,89,17,38,38,17
5460,89,17,38,38,75
5490,89,17,38,38,75
5520,89,17,38,38,17
5550,80,58,38,38,17
5580,80,58,38,38,91
5610,80,75,38,38,91
5640,80,75,38,38,91
5670,80,75,38,38,91
5700,80,75,38,38,91
5730,80,91,38,38,91
5760,80,91,38,38,91
5790,80,91,38,38,58
5820,80,56,38,38,58
5850,80,56,38,38,58
5880,80,56,38,61,58
5910,80,56,84,61,58
5940,80,56,84,38,58
5970,80,56,84,38,91
6000,80,56,94,38,91
6030,80,56,94,38,58
6060,80,56,94,38,58
6090,80,56,94,38,58
6120,80,56,94,38,58
6150,89,56,94,38,58
6180,89,56,94,38,58
6210,89,75,94,38,58
6240,80,91,94,38,58
6270,80,91,94,38,58
6300,89,91,94,38,58
6330,89,91,94,38,58
6360,96,91,94,38,58
6390,96,91,94,38,58
6420,96,91,94,38,58
6450,96,4,38,65,58
6480,96,4,38,65,58
6510,96,4,38,65,91
6540,96,17,38,65,91
6570,96,58,38,65,58
6600,96,58,23,57,58
6630,96,58,23,57,58
6660,7,58,82,57,58
6690,7,58,82,57,58
6720,76,58,82,57,58
6750,76,58,82,57,58
6780,76,58,80,57,75
6810,96,56,80,57,75
6840,96,56,94,69,75
6870,96,56,94,69,56
6900,80,56,94,69,56
6930,80,55,94,69,55
6960,80,55,94,69,55
6990,80,55,94,69,55
7020,80,55,94,69,55
7050,89,55,94,69,55
7080,89,55,94,69,55
7110,89,55,94,69,55
7140,89,55,82,57,55
7170,89,55,82,57,55
7200,76,55,82,65,55
7230,76,55,82,65,55
7260,89,55,82,65,55
7290,89,56,82,65,55
7320,89,56,65,65,56
7350,90,56,65,65,56
7380,90,56,38,65,56
7410,96,56,38,38,56
7440,96,55,38,38,56
7470,96,55,38,38,56
7500,96,55,38,38,56
7530,96,55,38,38,56
7560,96,55,38,38,56
7590,96,55,38,38,56
7620,96,55,38,38,56
7650,96,56,38,38,56
7680,89,56,61,38,56
7710,89,55,61,38,56
7740,89,55,8,57,0
7770,89,55,8,57,0
7800,89,56,8,57,0
7830,80,56,8,57,0
7860,80,56,38,38,56
7890,89,56,38,38,56
7920,89,56,38,57,56
7950,89,0,38,57,56
7980,96,0,38,57,56
8010,96,0,38,57,55
8040,80,0,38,57,55
8070,80,0,38,57,56
8100,89,0,38,38,56
8130,89,91,82,38,55
8160,7,91,82,38,75
8190,7,91,82,38,56
8220,25,91,82,38,91
8250,25,75,82,38,91
8280,25,75,82,38,58
8310,25,75,82,38,58
8340,25,75,94,38,58
8370,25,75,69,38,58
8400,25,91,69,38,58
8430,25,91,69,38,58
8460,25,91,69,38,58
8490,25,34,82,38,34
8520,25,34,65,38,34
8550,25,34,65,38,34
