t,p0,p1,p2,p3,p4
0,24,2,47,47,24
30,24,2,47,47,24
60,24,2,47,47,24
90,24,2,47,47,24
120,24,2,58,47,24
150,24,2,58,47,24
180,24,2,58,47,24
210,24,2,58,47,24
240,24,2,58,47,24
270,24,2,58,12,24
300,24,2,58,12,24
330,24,2,58,12,24
360,24,95,58,12,24
390,24,95,58,12,24
420,24,95,58,12,24
450,24,95,58,12,24
480,24,95,58,20,24
510,24,95,75,20,24
540,24,95,75,12,24
570,24,95,58,12,24
600,24,95,75,12,24
630,24,95,75,12,24
660,24,95,75,20,24
690,24,95,0,20,24
720,24,95,0,17,24
750,24,65,0,17,24
780,24,65,75,17,24
810,24,94,75,17,24
840,24,94,75,12,24
870,24,94,75,12,24
900,24,94,75,12,24
930,24,94,75,12,24
960,24,94,75,12,24
990,24,94,75,12,24
1020,24,94,12,12,24
1050,24,94,12,12,24
1080,24,94,12,12,24
1110,24,94,12,12,24
1140,24,94,20,4,24
1170,24,94,20,4,24
1200,24,94,12,4,24
1230,24,94,12,4,24
1260,24,94,41,4,24
1290,24,94,41,12,24
1320,24,94,41,12,24
1350,24,94,41,12,24
1380,24,94,41,12,24
1410,24,94,41,12,24
1440,24,94,41,12,24
1470,24,94,41,12,24
1500,24,94,17,12,24
1530,24,94,17,12,24
1560,24,94,17,12,24
1590,24,94,17,12,24
1620,24,94,17,12,24
1650,24,94,17,12,24
1680,24,94,17,12,24
1710,24,94,17,12,24
1740,24,94,41,12,24
1770,24,65,41,12,24
1800,24,65,64,12,24
1830,24,82,64,12,24
1860,24,38,64,12,24
1890,24,38,64,20,24
1920,24,94,64,20,24
1950,24,84,37,20,24
1980,24,84,37,20,24
2010,24,84,37,41,24
2040,24,84,37,41,24
2070,24,97,37,41,24
2100,24,84,37,41,24
2130,24,84,37,41,24
2160,24,84,37,41,24
2190,24,82,64,41,24
2220,24,82,64,12,24
2250,24,94,64,12,24
2280,24,94,64,12,24
2310,24,57,87,12,24
2340,24,57,87,12,24
2370,24,57,67,12,24
2400,24,57,67,12,24
2430,24,22,67,20,24
2460,24,22,64,20,24
2490,24,95,64,12,24
2520,24,95,67,12,24
2550,24,95,67,12,24
2580,24,95,64,43,24
2610,24,95,64,43,24
2640,24,95,28,81,24
2670,24,95,28,81,24
2700,24,95,28,81,24
2730,24,95,28,81,24
2760,24,95,28,81,24
2790,24,95,31,81,24
2820,24,95,31,81,24
2850,24,95,31,58,24
2880,24,69,31,58,24
2910,24,69,31,58,24
2940,24,69,31,58,24
2970,24,69,31,58,24
3000,24,69,26,56,24
3030,24,69,26,56,24
3060,24,69,26,56,24
3090,24,69,31,56,24
3120,24,69,31,56,24
3150,24,69,31,56,24
3180,24,69,31,56,24
3210,24,69,28,56,24
3240,24,38,28,56,24
3270,24,38,63,56,24
3300,24,38,63,56,24
3330,24,38,63,55,24
3360,24,57,63,55,24
3390,24,57,28,55,24
3420,24,65,28,55,24
3450,24,38,28,55,24
3480,24,38,28,55,24
3510,24,38,53,91,24
3540,24,38,53,91,24
3570,24,65,14,91,24
3600,24,38,14,56,24
3630,24,38,55,56,24
3660,24,38,55,56,24
3690,24,38,55,56,24
3720,24,38,55,56,24
3750,24,38,55,56,24
3780,24,65,55,56,24
3810,24,65,14,56,24
3840,24,65,14,56,24
3870,24,65,55,55,24
3900,24,65,55,55,24
3930,24,38,55,56,24
3960,24,38,55,56,24
3990,24,38,55,56,24
4020,24,8,0,56,24
4050,24,8,55,56,24
4080,24,8,55,56,24
4110,24,38,55,56,24
4140,24,38,75,56,24
4170,24,57,75,56,24
4200,24,57,75,9,24
4230,24,38,75,9,24
4260,24,38,75,17,24
4290,24,38,91,56,24
4320,24,38,91,56,24
4350,24,38,91,56,24
4380,24,38,91,56,24
4410,24,38,75,91,24
4440,24,38,75,55,24
4470,24,38,75,91,24
4500,24,38,75,91,24
4530,24,38,75,91,24
4560,24,38,75,58,24
4590,24,38,75,58,24
4620,24,38,75,58,24
4650,24,38,17,91,24
4680,24,38,17,91,24
4710,24,38,17,91,24
4740,24,38,17,91,24
4770,24,38,17,58,24
4800,24,38,17,58,24
4830,24,61,34,58,24
4860,24,61,17,58,24
4890,24,38,17,58,24
4920,24,38,17,58,24
4950,24,8,17,58,24
4980,24,8,17,58,24
5010,24,8,17,75,24
5040,24,8,17,75,24
5070,24,8,58,58,24
5100,24,61,58,58,24
5130,24,61,20,55,24
5160,24,61,75,55,24
5190,24,61,75,55,24
5220,24,61,75,58,24
5250,24,61,17,58,24
5280,24,61,91,58,24
5310,24,61,91,91,24
5340,24,61,12,91,24
5370,24,8,12,91,24
5400,24,38,12,58,24
5430,24,38,12,58,24
5460,24,38,20,58,24
5490,24,38,20,58,24
5520,24,38,17,58,24
5550,24,38,17,58,24
5580,24,65,75,58,24
5610,24,65,75,58,24
5640,24,8,75,58,24
5670,24,61,75,58,24
5700,24,61,75,58,24
5730,24,61,75,58,24
5760,24,61,75,58,24
5790,24,61,75,58,24
5820,24,8,75,58,24
5850,24,8,75,58,24
5880,24,38,75,56,24
5910,24,38,75,56,24
5940,24,38,75,91,24
5970,24,38,75,91,24
6000,24,38,75,75,24
6030,24,38,75,75,24
6060,24,61,75,75,24
6090,24,61,75,91,24
6120,24,61,75,17,24
6150,24,61,75,17,24
6180,24,38,75,17,24
6210,24,38,75,17,24
6240,24,38,75,17,24
6270,24,38,17,17,24
6300,24,38,75,17,24
6330,24,38,75,17,24
6360,24,61,75,17,24
6390,24,38,75,91,24
6420,24,38,75,91,24
6450,24,61,75,91,24
6480,24,61,75,91,24
6510,24,8,75,91,24
6540,24,8,75,91,24
6570,24,8,75,58,24
6600,24,8,75,58,24
6630,24,8,75,58,24
6660,24,8,75,58,24
6690,24,8,75,58,24
6720,24,8,75,75,24
6750,24,8,75,75,24
6780,24,8,75,75,24
6810,24,8,75,75,24
6840,24,8,75,75,24
6870,24,8,75,75,24
6900,24,8,75,58,24
6930,24,8,75,58,24
6960,24,8,75,58,24
6990,24,8,75,91,24
7020,24,8,75,91,24
7050,24,8,75,91,24
7080,24,8,75,91,24
7110,24,8,75,91,24
7140,24,8,75,17,24
7170,24,8,75,56,24
7200,24,8,75,56,24
7230,24,8,0,56,24
7260,24,8,0,56,24
7290,24,8,14,56,24
7320,24,8,14,56,24
7350,24,8,14,56,24
7380,24,8,14,56,24
7410,24,8,75,56,24
7440,24,8,75,56,24
7470,24,8,75,55,24
7500,24,38,75,91,24
7530,24,38,75,91,24
7560,24,38,75,91,24
7590,24,38,75,91,24
7620,24,38,75,91,24
7650,24,38,91,91,24
7680,24,38,91,17,24
7710,24,38,91,17,24
7740,24,38,91,91,24
7770,24,38,75,91,24
7800,24,38,75,91,24
7830,24,38,75,91,24
7860,24,38,75,91,24
7890,24,38,75,91,24
7920,24,38,75,58,24
7950,24,38,75,58,24
7980,24,38,75,58,24
8010,24,38,75,75,24
8040,24,38,75,75,24
8070,24,38,0,75,24
8100,24,38,0,75,24
8130,24,38,75,75,24
8160,24,65,75,56,24
8190,24,65,75,17,24
8220,24,38,75,17,24
8250,24,57,75,17,24
8280,24,57,75,17,24
8310,24,57,75,17,24
8340,24,38,75,17,24
8370,24,38,75,17,24
8400,24,38,75,17,24
8430,24,38,75,17,24
8460,24,38,75,17,24
8490,24,38,75,17,24
8520,24,38,75,17,24
8550,24,38,75,17,24
8580,24,38,75,17,24
8610,24,38,75,17,24
8640,24,8,75,17,24
8670,24,8,75,17,24
8700,24,61,75,17,24
8730,24,61,91,17,24
8760,24,61,91,17,24
8790,24,61,91,75,24
8820,24,61,91,75,24
8850,24,61,91,75,24
8880,24,61,75,91,24
8910,24,61,91,91,24
