id,x0,y0,x1,y1
99,102.051,108.224,100.582,110.316
98,147.229,156.771,141.639,150.482
97,153.749,97.3668,159.005,97.1658
96,117.985,118.182,120.495,121.195
95,134.867,77.2611,140.177,77.7931
94,154.213,106.126,153.94,105.886
93,110.782,99.3,112.009,99.3727
92,96.8991,134.183,95.156,129.725
91,78.1761,152.572,77.9245,145.258
90,112.777,115.462,114.585,118.047
89,123.884,123.984,121.88,122.186
88,168.924,125.01,166.452,124.173
87,104.643,149.669,103.838,149.237
86,136.973,169.407,136.912,168.991
85,94.6222,92.5926,94.9926,96.9926
84,164.486,97.7361,156.194,95.4444
83,119.455,107.651,119.55,107.514
82,146.512,91.6546,145.292,91.1258
81,75.7241,126.253,77.5172,130.92
80,127.178,126.08,128.528,126.888
79,78.3662,90.9014,81.2113,99.9155
78,89.5858,120.178,87.4438,120.438
77,90.785,119.009,94.6916,128.785
76,119.326,116.166,119.3,115.436
75,83.8912,153.051,83.7556,152.168
74,127.788,104.761,123.416,102.248
73,95.0299,101.746,97.9851,105.701
72,95.759,96.988,91.0361,92.0964
71,130.286,96.3571,137.238,99.4524
70,167.74,156.16,167.99,156.55
69,158.608,78.0304,163.058,78.5775
68,80.3947,106.079,75.9474,89.8421
67,123.367,139.345,121.86,137.689
66,94.463,93.6111,95.2963,89.7963
65,158.733,84.4056,164.239,84.65
64,111.038,133.684,111.217,133.505
63,145.717,140.806,145.925,140.656
62,101.251,103.842,104.532,107.271
61,172.727,94.5164,168.531,93.8691
60,88.5009,96.3739,89.8045,97.0978
59,91.7778,89.085,79.5556,80.7451
28,130.53,151.904,130.105,152.183
27,105.509,111.418,108.636,113.064
26,153.301,124.373,153.269,123.933
25,98.1957,105.043,95.6087,100.587
24,82.5126,81.9076,88.7479,88.2017
23,148.289,98.6598,141.381,97.8144
22,123.658,77.4684,112.076,77.2152
21,102.807,92.5673,103.127,92.7418
20,92.1849,136.101,91.892,135.818
19,124.065,93.9491,123.611,93.5694
18,91.7047,92.9933,95.8658,97.3826
17,85.1499,145.731,84.4364,146.664
16,78.3294,86.4471,75.2235,83.4824
15,77.4082,106.755,77.5102,100.776
14,102.519,158.062,102.073,156.979
13,81.9375,98.375,80.375,94.375
0,83.8832,159.898,86.7007,157.431
1,157.396,152.484,157.196,152.728
2,112.568,78.8649,120.486,78.527
3,94.0165,83.5372,91.3802,82.0331
4,89.3333,132.878,92.0488,129.593
5,105.05,124.84,106.287,127.436
6,78.2462,79.4051,88.2564,85.0462
7,118.052,122.086,114.464,118.318
8,174.112,102.579,173.079,103.328
9,73.5238,160.317,73.5238,152.73
10,73.3245,76.7947,80.1722,86.106
11,134.66,92.2667,137.719,91.4947
12,83.9705,131.712,83.4649,132.561
29,86.1713,90.709,85.5864,90.1388
30,100.821,80.1368,96.1538,80
31,134.612,134.063,134.646,133.953
32,88.8875,174.025,87.95,170.15
33,135.224,96.1882,131.341,94.1647
34,90.7442,134.264,85.4109,137.814
35,79.1243,79.5266,86.8402,79.6568
36,122.278,89.5949,138.152,94.1772
37,109.632,139.904,107.136,135.792
38,169.654,87.4942,169.623,87.6587
39,100.806,117.808,101.155,117.73
40,106.488,123.642,104.179,119.562
41,95.0065,139.176,96.5882,142.758
42,95.1,76.18,100.56,76.78
43,77.8684,125.684,77.4737,119.395
44,75.4951,83.8835,78.932,89.1262
45,172.37,113.746,167.884,112.185
46,74.4688,80.2812,75.1016,93.8203
47,76.2099,107.049,76.3704,115.568
48,86.5783,102.289,76.6988,82.7711
49,95.0766,170.346,97.1906,171.497
50,92.7059,106.605,91.8151,106.134
51,108.314,112.967,104.065,108.353
52,94.9317,122.311,92.3727,125.068
53,117.622,161.606,117.26,159.496
54,72.8136,106.746,73.8983,98.8136
55,84.011,163.451,84.0631,163.078
56,78.012,158.671,77.9157,161.655
57,165.679,81.3079,159.45,80.6972
58,76.7207,140.523,77.027,145.868
