id,x0,y0,x1,y1
99,100,106,98,108
99,108,104,108,104
99,102,104,100,108
99,100,108,98,112
99,98,112,96,116
99,96,116,98,114
99,114,104,110,106
99,108,108,104,110
99,106,108,110,106
99,110,98,100,108
99,96,110,98,108
99,108,100,106,104
99,106,104,104,106
99,104,110,102,112
99,100,112,104,104
99,110,104,106,108
99,104,106,108,98
99,98,114,100,110
99,84,116,90,114
99,106,96,104,102
99,100,112,102,112
99,82,118,86,116
99,100,112,98,112
99,98,112,98,112
99,98,112,98,112
99,98,112,102,110
99,100,110,98,114
99,104,108,104,112
99,102,106,104,102
99,106,102,104,106
99,104,106,102,108
99,98,116,98,116
99,96,116,98,112
99,98,112,100,112
99,108,108,104,110
99,104,110,100,114
99,100,114,98,120
99,102,110,98,114
99,98,114,96,120
99,102,110,104,108
99,102,106,100,110
99,100,110,96,114
99,96,114,96,116
99,96,116,98,114
99,106,108,110,106
99,100,112,98,120
99,100,110,98,112
99,98,112,96,116
99,106,108,104,110
99,106,100,104,102
99,96,118,96,116
99,108,100,100,108
99,100,112,96,114
99,96,114,96,116
99,98,112,100,108
99,100,112,98,112
99,98,100,100,106
99,102,110,100,114
99,112,104,108,106
99,102,106,102,108
99,102,108,100,112
99,100,112,98,112
99,98,112,98,114
99,98,114,96,118
99,100,110,98,114
99,108,100,106,104
99,106,104,104,108
99,104,108,104,112
99,106,110,102,110
99,102,110,100,116
99,108,106,104,108
99,104,108,100,112
99,100,112,98,116
99,96,114,100,110
99,112,100,104,108
99,96,118,98,114
99,98,114,98,112
99,98,112,100,108
99,100,112,98,116
99,100,110,98,112
99,96,118,96,116
99,96,116,96,116
99,96,116,100,112
99,108,98,106,102
99,106,106,104,108
99,100,112,98,114
99,102,110,100,116
99,102,112,100,114
99,96,114,96,116
99,98,116,98,116
99,100,108,102,104
99,108,98,104,106
99,100,110,96,112
99,96,112,94,116
99,100,110,98,114
99,96,118,96,116
99,96,116,96,116
99,100,112,92,116
99,100,110,96,118
99,104,104,102,108
99,102,108,100,112
99,100,112,96,116
99,100,110,98,112
99,98,112,102,110
99,102,110,104,106
99,96,114,96,116
99,104,106,102,110
99,102,110,96,116
99,96,116,96,118
99,104,102,100,106
99,100,110,98,114
99,92,114,98,112
99,120,72,118,76
99,100,114,98,118
99,106,110,102,110
99,102,110,100,112
99,102,110,98,112
99,98,112,98,114
99,106,100,102,104
99,102,104,102,110
99,102,110,100,112
99,108,110,104,110
99,100,112,98,114
99,108,98,106,102
99,106,102,102,106
99,102,106,100,114
99,100,110,98,112
99,108,100,106,104
99,106,104,104,106
99,108,106,104,110
99,104,110,100,112
99,100,112,98,114
99,100,108,94,116
99,94,116,92,118
99,100,110,98,112
99,96,112,92,114
99,98,114,96,116
99,100,112,96,120
99,98,114,100,110
99,102,102,100,108
99,104,106,102,110
99,102,110,100,114
99,106,102,104,106
99,104,110,102,112
99,104,106,102,110
99,102,112,96,114
99,102,110,100,112
99,98,112,100,112
99,100,112,98,114
99,96,112,92,114
99,98,112,100,108
99,108,100,106,104
99,106,104,104,108
99,104,108,102,112
99,100,112,98,118
99,102,106,102,108
99,102,108,100,108
99,100,112,98,116
99,108,100,104,104
99,102,112,98,116
99,104,100,102,104
99,102,110,100,110
99,98,114,102,106
99,102,110,100,114
99,104,110,100,114
99,100,114,98,120
99,102,106,102,108
99,100,114,98,120
99,96,116,96,116
99,96,116,98,114
99,104,106,106,102
99,96,112,92,114
99,98,114,98,112
99,98,112,100,110
99,100,108,104,104
99,100,108,100,110
99,102,110,98,112
99,98,114,96,116
99,108,98,104,106
99,108,106,112,104
99,106,100,104,106
99,98,114,100,112
99,78,120,86,116
99,102,108,104,106
99,120,100,116,102
99,116,102,112,104
99,112,104,108,106
99,104,104,106,104
99,100,112,102,112
99,98,114,98,112
99,110,104,74,124
99,98,114,96,116
99,106,102,104,106
99,106,104,104,106
99,102,106,100,108
99,102,110,104,106
99,108,98,108,100
99,108,100,104,104
99,104,104,104,106
99,102,106,102,110
99,102,110,98,112
99,98,112,96,116
99,102,110,98,114
99,98,114,96,114
99,100,112,98,114
98,134,144,132,142
98,154,166,154,166
98,154,168,154,168
98,156,166,74,74
98,154,168,150,160
98,150,160,148,158
98,148,158,146,152
98,146,152,148,150
98,146,152,148,150
98,160,178,162,176
98,148,162,146,156
98,146,156,144,152
98,144,152,140,148
98,148,158,148,160
98,148,160,148,160
98,144,152,140,148
98,140,148,136,146
98,148,154,148,156
98,148,164,146,162
98,148,164,148,162
98,148,162,148,164
98,158,168,156,168
98,152,174,152,174
98,154,172,152,170
98,152,170,152,170
98,154,164,156,166
98,156,170,156,170
98,140,146,138,144
98,144,152,138,146
98,138,144,140,146
98,142,152,144,150
98,140,146,140,144
98,144,152,142,150
98,140,146,0,0
