t,p0,p1,p2,p3,p4
0,18,22,18,90,22
30,18,22,56,90,22
60,18,22,18,90,22
90,56,22,18,90,22
120,56,22,136,90,22
150,92,22,136,90,22
180,92,22,85,90,22
210,49,22,85,90,22
240,49,22,9,90,22
270,92,22,9,90,22
300,92,22,9,90,22
330,92,22,9,90,22
360,92,90,9,90,90
390,66,90,9,90,90
420,66,90,76,90,90
450,66,90,76,90,90
480,66,90,106,90,90
510,66,120,106,90,90
540,66,120,106,90,120
570,59,120,72,90,120
600,59,105,72,90,120
630,36,105,96,90,120
660,36,105,96,90,120
690,36,105,96,90,120
720,59,105,62,96,105
750,59,105,62,96,105
780,121,105,62,120,105
810,121,105,62,120,105
840,121,105,62,105,120
870,52,105,105,105,120
900,52,105,105,105,105
930,52,105,96,105,105
960,118,105,96,105,120
990,118,105,105,105,120
1020,118,105,105,105,105
1050,118,105,105,105,105
1080,118,105,105,105,105
1110,118,105,105,105,105
1140,118,105,105,105,105
1170,118,105,105,132,105
1200,118,132,12,132,105
1230,118,132,12,132,105
1260,118,132,12,132,105
1290,118,138,138,138,105
1320,118,138,138,138,105
1350,118,12,12,138,105
1380,118,12,12,138,105
1410,118,12,12,105,105
1440,118,132,12,105,105
1470,66,132,12,12,105
1500,66,132,12,12,120
1530,66,132,12,12,120
1560,66,132,12,12,120
1590,66,132,12,12,120
1620,66,132,12,12,120
1650,66,132,12,12,120
1680,66,132,12,12,120
1710,45,132,12,106,120
1740,66,132,12,106,120
1770,66,132,132,106,120
1800,45,132,132,106,120
1830,45,132,132,106,120
1860,45,132,132,106,120
1890,0,132,132,143,120
1920,0,132,132,143,120
1950,43,132,132,143,120
1980,43,132,132,143,120
2010,21,132,132,143,120
2040,21,132,132,143,120
2070,21,132,12,124,120
2100,122,132,12,124,120
2130,78,132,12,52,120
2160,78,132,12,106,120
2190,92,132,132,106,120
2220,92,132,132,106,120
2250,92,132,12,106,105
2280,92,132,12,106,105
2310,92,132,12,106,105
2340,92,132,12,106,105
