t,p0,p1,p2,p3,p4
0,51,22,2,6,18
30,51,22,2,6,18
60,51,22,2,6,85
90,51,22,2,6,85
120,51,22,2,6,85
150,51,22,137,6,136
180,51,22,137,6,85
210,22,22,80,6,37
240,22,22,80,6,85
270,22,22,80,6,9
300,22,22,80,6,9
330,22,22,80,6,92
360,22,22,28,6,92
390,22,22,28,6,92
420,22,22,24,6,92
450,90,22,24,6,92
480,90,90,24,6,118
510,90,90,24,6,118
540,90,90,24,6,92
570,69,90,24,6,92
600,64,90,24,6,92
630,64,90,65,6,92
660,129,60,65,6,39
690,129,60,65,6,39
720,129,60,65,6,141
750,129,60,33,6,141
780,129,60,33,6,141
810,129,60,33,6,141
840,129,48,33,6,136
870,129,48,33,6,136
900,129,48,33,6,136
930,129,79,33,6,136
960,129,79,33,6,136
990,129,79,113,6,136
1020,129,79,113,6,136
1050,129,79,113,6,136
1080,129,79,113,6,136
1110,129,79,65,6,136
1140,64,79,65,6,136
1170,64,79,65,6,136
1200,79,79,65,6,136
1230,79,79,65,6,136
1260,79,79,65,6,136
1290,79,60,65,6,136
1320,79,60,65,6,136
1350,79,60,65,6,136
1380,79,60,65,6,141
1410,79,60,65,6,141
1440,90,60,65,6,141
1470,90,60,65,6,141
1500,90,60,65,6,141
1530,90,60,65,6,32
1560,90,60,24,6,32
1590,90,60,24,6,32
1620,90,60,24,6,32
1650,90,60,24,6,32
1680,90,60,24,6,32
1710,62,60,24,6,32
1740,62,60,24,6,32
1770,120,60,55,6,32
1800,120,60,55,6,32
1830,105,60,133,6,32
1860,105,60,133,6,32
1890,105,60,112,6,32
1920,105,60,112,6,32
1950,105,60,112,6,32
1980,120,60,112,6,32
2010,120,60,112,6,32
2040,120,60,112,6,32
2070,120,60,112,6,32
2100,120,60,112,6,32
2130,120,60,112,6,32
2160,120,60,112,6,32
2190,120,60,17,6,32
2220,128,60,17,6,32
2250,123,123,17,6,32
2280,123,123,112,6,32
2310,123,123,112,6,32
2340,123,123,112,6,32
2370,123,123,112,6,32
2400,123,123,112,6,37
2430,123,123,112,6,37
2460,123,123,112,6,37
2490,123,123,102,6,37
2520,123,123,102,6,9
2550,123,123,102,6,9
2580,123,12,102,6,38
2610,123,12,102,6,38
2640,120,132,102,6,9
2670,120,132,127,6,9
2700,60,132,127,6,7
2730,60,132,127,6,134
2760,87,132,127,6,134
2790,64,132,127,6,7
2820,64,132,127,6,134
2850,64,132,29,6,92
2880,64,132,29,6,63
2910,64,98,127,6,63
2940,64,54,29,6,63
2970,64,54,29,6,52
3000,64,54,29,6,63
3030,129,54,29,6,97
3060,129,54,29,6,97
3090,129,54,29,6,97
3120,129,54,29,6,75
3150,129,54,55,6,75
3180,129,54,55,6,75
3210,129,64,55,6,75
3240,129,64,55,6,75
3270,129,64,55,6,74
3300,64,64,55,6,52
3330,64,64,55,6,52
3360,64,64,55,6,52
3390,129,64,55,6,52
3420,48,129,55,6,52
3450,48,129,100,6,52
3480,64,129,100,6,52
3510,64,129,100,6,52
3540,64,129,100,6,74
3570,64,129,100,6,74
3600,64,129,91,6,75
3630,64,129,91,6,75
3660,64,129,113,6,75
3690,64,64,33,6,75
3720,64,10,33,6,81
3750,64,10,14,6,81
3780,64,129,14,6,81
3810,64,129,33,6,81
3840,64,129,33,6,81
3870,64,129,33,6,81
3900,64,129,33,6,81
3930,60,129,33,6,73
3960,60,129,113,6,73
3990,60,129,113,6,73
4020,60,129,113,6,73
4050,60,64,113,6,73
4080,60,64,113,6,73
4110,60,64,113,6,73
4140,60,64,113,6,52
4170,60,64,113,6,52
4200,60,64,113,6,75
4230,60,64,113,6,75
4260,129,64,33,6,75
4290,129,64,33,6,75
4320,129,64,33,6,75
4350,64,64,91,6,75
4380,64,64,91,6,97
4410,64,64,113,6,73
4440,4,129,113,6,73
4470,4,129,113,6,73
4500,4,129,91,6,73
4530,60,64,14,6,81
4560,60,64,14,6,81
4590,60,64,113,6,81
4620,60,64,113,6,81
4650,60,64,14,6,52
4680,60,64,14,6,52
4710,79,48,113,6,81
4740,79,48,113,6,81
4770,98,64,113,6,81
4800,98,64,113,6,97
4830,60,64,113,6,16
4860,60,64,113,6,16
4890,60,64,113,6,16
4920,60,48,113,6,74
4950,60,60,113,6,74
4980,60,64,14,6,52
5010,60,64,14,6,52
5040,60,48,113,6,52
5070,64,48,113,6,52
5100,64,64,113,6,52
5130,64,64,113,6,52
5160,64,79,113,6,52
5190,64,79,14,6,74
5220,64,79,14,6,74
5250,64,79,113,6,74
5280,64,79,113,6,92
5310,64,79,113,6,92
5340,60,79,113,6,31
5370,60,79,113,6,31
5400,129,79,113,6,92
5430,129,79,113,6,92
5460,129,79,113,6,92
5490,129,79,14,6,92
5520,129,64,14,6,92
5550,129,64,14,6,92
5580,60,64,113,6,92
5610,60,64,113,6,92
5640,60,64,149,6,92
5670,60,64,149,6,92
5700,60,48,65,6,92
5730,60,48,24,6,63
5760,129,64,144,6,63
5790,60,64,144,6,63
5820,60,64,144,6,63
5850,60,64,144,6,31
5880,60,64,144,6,31
5910,60,129,144,6,31
5940,60,129,144,6,31
5970,60,129,144,6,31
6000,60,64,144,6,97
6030,60,64,144,6,97
6060,60,64,65,6,52
6090,147,64,65,6,52
6120,147,64,65,6,52
6150,90,64,65,6,52
6180,90,64,65,6,81
6210,147,129,55,6,81
6240,147,129,55,6,81
6270,147,64,55,6,81
6300,147,64,55,6,81
6330,147,64,55,6,57
6360,106,64,55,6,57
6390,106,129,65,6,57
6420,106,64,65,6,57
6450,106,64,65,6,57
6480,106,64,65,6,57
6510,106,64,24,6,52
6540,106,64,24,6,52
6570,106,64,24,6,81
6600,106,64,24,6,81
6630,106,64,149,6,57
6660,106,64,110,6,57
6690,106,64,110,6,73
6720,106,64,110,6,73
6750,72,64,110,6,73
6780,72,64,110,6,81
6810,123,64,110,6,81
6840,123,64,110,6,81
6870,123,64,110,6,74
6900,123,64,110,6,74
6930,123,64,110,6,74
6960,123,64,110,6,81
6990,123,129,91,6,81
7020,123,129,113,6,81
7050,123,64,113,6,81
7080,123,64,113,6,74
7110,123,64,113,6,74
7140,123,64,113,6,52
7170,123,41,113,6,52
7200,123,41,113,6,52
7230,35,41,113,6,31
7260,35,35,33,6,31
7290,35,35,33,6,52
7320,35,129,33,6,52
7350,35,129,33,6,52
7380,35,129,33,6,63
7410,35,129,33,6,63
7440,35,129,33,6,63
7470,35,129,33,6,63
7500,35,129,33,6,52
7530,35,129,33,6,52
7560,35,10,33,6,52
7590,123,10,33,6,52
7620,123,10,33,6,97
7650,35,10,33,6,97
7680,35,10,33,6,97
7710,35,10,33,6,97
7740,123,129,91,6,97
7770,123,129,91,6,97
7800,123,129,14,6,97
7830,123,129,33,6,81
7860,123,129,33,6,81
7890,123,129,113,6,81
7920,123,129,113,6,81
7950,123,129,100,6,81
7980,123,129,100,6,81
8010,123,129,65,6,81
8040,123,129,65,6,81
8070,129,129,65,6,73
8100,129,129,65,6,73
8130,129,129,65,6,81
8160,129,129,24,6,81
8190,129,129,24,6,81
8220,129,129,24,6,81
8250,129,129,24,6,81
8280,129,129,55,6,81
8310,129,129,55,6,81
8340,10,129,55,6,81
8370,129,10,55,6,81
8400,35,129,55,6,81
8430,35,129,55,6,81
8460,35,87,55,6,81
8490,35,87,28,6,81
8520,35,87,65,6,81
8550,35,87,65,6,81
8580,35,87,65,6,81
8610,35,87,65,6,81
8640,35,87,144,6,81
8670,35,87,144,6,81
8700,35,87,144,6,81
8730,35,87,144,6,81
8760,35,87,144,6,81
8790,35,35,144,6,81
8820,35,41,144,6,81
8850,35,41,144,6,74
8880,35,41,144,6,74
8910,35,41,144,6,74
8940,60,103,144,6,52
8970,60,103,144,6,52
9000,60,103,144,6,74
9030,60,129,65,6,31
9060,35,129,65,6,31
9090,35,35,65,6,52
9120,4,35,65,6,52
9150,4,129,65,6,52
9180,4,129,91,6,63
9210,4,129,91,6,52
9240,60,129,91,6,52
9270,60,87,100,6,52
9300,60,87,100,6,97
9330,60,129,100,6,75
9360,60,129,100,6,75
9390,128,129,100,6,75
9420,128,129,100,6,75
9450,128,41,100,6,97
9480,128,41,100,6,97
9510,128,103,100,6,81
9540,128,103,24,6,81
9570,120,103,24,6,81
9600,120,103,33,6,81
9630,120,41,33,6,81
9660,120,41,65,6,75
9690,138,87,65,6,81
9720,60,87,65,6,81
9750,60,87,91,6,81
9780,60,87,91,6,81
9810,60,35,14,6,81
9840,60,35,14,6,81
9870,60,35,149,6,81
9900,60,35,149,6,36
9930,60,35,149,6,36
9960,123,35,65,6,36
9990,123,35,144,6,16
10020,123,35,144,6,16
10050,120,35,65,6,52
10080,120,35,65,6,52
10110,35,35,65,6,66
10140,35,35,65,6,66
10170,35,35,65,6,31
10200,35,35,65,6,31
10230,35,35,65,6,31
10260,35,35,65,6,31
10290,35,35,65,6,63
10320,35,35,65,6,125
10350,35,35,65,6,125
10380,35,35,65,6,52
10410,35,35,65,6,52
10440,35,35,65,6,52
10470,35,35,114,6,52
10500,35,35,34,6,97
10530,35,35,34,6,73
10560,35,41,34,6,73
10590,60,41,34,6,73
10620,4,41,34,6,73
10650,4,41,65,6,73
10680,60,103,65,6,73
10710,60,103,65,6,73
10740,60,129,65,6,57
10770,60,129,65,6,57
10800,60,129,65,6,57
10830,60,129,144,6,57
10860,60,129,144,6,57
10890,60,129,65,6,81
10920,60,129,65,6,81
10950,60,103,65,6,81
10980,60,103,65,6,81
11010,60,103,20,6,81
