id,x0,y0,x1,y1
149,76.9478,149.748,76.6609,142.009
148,96.72,120,100.027,119.84
147,136.303,91.9091,132.727,93
146,130.242,108.182,132.636,103.273
145,75.96,88.56,78.36,96.56
144,80.3453,151.424,80.1871,147.065
143,132.511,106.023,130.114,106.932
142,154.936,139.517,154.562,139.222
141,95.1714,104.2,95.3429,98.8571
140,141.736,113.17,137.396,114.981
139,113.968,102,110.635,99.5238
138,150.83,120.274,150.785,120.215
137,76.4444,120.389,76.2222,127.778
136,91.7363,97.0549,94.8352,100.901
135,85.7108,85.1807,85.1566,88.8434
134,107.049,108.656,107.508,112.066
133,91.427,135.258,91.6292,139.596
132,164.102,116.628,164.557,116.762
131,94.2703,114,90.4324,106.703
130,99.1915,77.5319,107.617,77.4043
129,170.853,89.9535,171.078,90.9242
128,149.371,96.6857,138.657,93.8286
127,119.762,136.93,119.305,136.188
58,112.515,158.874,112.189,158.097
57,134.271,131.357,133.911,131.242
56,91.1148,92.7213,94.7541,95.4262
55,87.6894,146.26,86.8213,146.323
54,161.236,75.6727,165.818,76.7091
53,109.62,138.613,106.394,133.62
52,116.843,116.206,116.787,116.089
51,106.077,74.0769,111.462,77.6154
50,115.315,99.8739,118.36,102.144
49,98.7788,101.575,103.805,106.655
48,163.946,81.8072,168.916,82.3313
47,150.615,167.048,150.476,167.465
46,86.375,137.214,82.3393,138.304
45,96.3932,121.573,92.4103,123.846
44,85.5431,132.443,85.3708,133.054
43,88.6667,116.056,93.5,128.519
42,90.1667,116.167,86.0556,116.361
41,175.52,117.263,175.062,118.158
40,80.3243,123.081,79.2973,118.541
39,94.4231,106.654,92.6538,106.231
38,98.9512,105.317,99.6098,110.732
37,94.8214,92.8036,95.3571,96.6429
36,112.235,131.357,112.062,130.874
35,173.26,99.5577,166.654,98.1923
34,76.3005,138.864,76.8451,144.554
33,85.623,161.692,86.6164,161.882
32,95.5517,97.6552,89.9655,92.2759
31,112.377,117.528,109.057,113.509
30,75.734,78.1872,83.1429,82.6305
29,141.211,139.848,141.799,140.221
12,156.37,107.654,154.428,106.724
11,87.3563,94.4138,80.8276,87.1034
10,177.654,92.3128,171.933,92.2682
9,102.092,102.701,102.663,102.636
8,131.392,150.83,130.983,150.648
7,102.319,107.304,106.116,108.899
6,76.028,75.8042,87.2727,86.7972
5,80.1791,117.731,81.1642,121.791
4,156.327,92.25,149.346,89.8462
3,73.2698,101.492,74.2222,90.0952
2,73.76,104.587,74.1333,112.693
1,112.435,86.5217,128.783,90.3478
0,96.688,118.336,95.616,122.656
13,77.5912,85.0073,81.4745,92.1022
14,81.019,167.795,80.2357,164.167
15,133.48,96.16,126.88,93.88
16,116.677,123.708,118.831,120.754
17,97.1314,142.503,94.3086,139.063
18,89.7301,88.0846,89.9545,88.3577
19,72.5345,162.534,72.4655,154.086
20,103.106,152.857,102.51,152.257
21,93.4432,128.977,95.1818,124.784
22,119.848,79.7576,125.909,80.1818
23,77.0164,116.754,77.2131,106.885
24,82.3944,144.972,82.7324,143.634
25,124.184,77.0204,113.878,76.9796
26,77.3404,102.553,77.1064,110.553
27,102.107,105.857,97.25,100.607
28,79,130.422,79.7111,138.133
59,109.181,130.22,111.165,134.945
60,154.605,88.7932,156.244,87.5075
61,80.4242,106.273,77.8182,92.7879
62,131.182,103.955,135.523,100.386
63,110.235,113.318,113.365,117.012
64,169.965,84.6677,169.309,84.2393
65,83.7356,153.734,83.4712,153.451
66,103.515,120.326,103.423,120.708
67,98.4407,90.6949,79.0508,78.8983
68,98.9508,85.0164,98.4262,82.0984
69,130.75,74.6786,137.607,78.7143
70,95.0894,162.081,96.9756,165.902
71,161.414,153.935,161.779,154.536
72,121.913,92.6957,131.391,96.3043
73,123.272,122.901,125.43,125.113
74,119.646,121.338,114.954,118.554
75,121.678,117.552,121.057,121.195
76,104.413,96.7619,109.857,96.5873
77,101.524,159.206,99.254,152.302
78,95.2562,122.38,99.3884,119.025
79,162.751,80.2278,154.405,79.7046
80,76.4138,128.931,79.3103,133.345
81,123.322,125.981,123.61,126.258
82,94.7879,77.8788,83.7172,78.3838
83,112.367,113.061,109.592,109.714
84,77.2174,104.174,76.3043,97
85,89.8676,98.5863,90.9173,98.383
86,101.131,171.215,102.224,170.143
87,171.149,95.5541,174.635,95.5811
88,122.445,160.04,122.381,159.101
89,78.2642,80.3396,83.2075,86.4717
90,137.043,88.4496,136.778,87.804
91,78.5754,161.193,79.1298,164.554
92,102.305,110.868,102.02,111.242
93,132.545,142.667,124.586,134.02
94,116.911,111.899,120.835,115.266
95,103.049,80,97.6066,79.6393
96,130.857,92.4935,140.078,93.1688
97,117.896,120.452,121.122,120.617
98,143.2,78.1677,150.374,78.5419
99,91.4085,134.042,90.1831,127.451
