t,p0,p1,p2,p3,p4
0,11,41,43,49,75
30,11,41,43,49,75
60,11,41,41,49,75
90,11,41,41,49,75
120,11,41,41,49,75
150,11,41,78,49,75
180,11,42,78,49,75
210,12,42,78,49,32
240,12,42,78,49,32
270,7,42,31,49,32
300,7,42,31,49,32
330,7,42,31,49,32
360,7,42,35,49,32
390,7,42,35,49,24
420,4,42,35,49,24
450,4,94,35,49,67
480,14,94,35,49,67
510,14,42,35,49,67
540,14,42,35,49,67
570,14,42,35,49,67
600,14,42,0,49,67
630,14,42,0,49,67
660,14,42,0,49,67
690,14,42,0,49,67
720,14,35,0,49,67
750,14,35,0,49,67
780,14,35,0,49,67
810,14,35,32,49,67
840,14,35,32,49,67
870,14,35,32,49,67
900,14,78,32,49,67
930,14,78,32,49,67
960,14,78,32,49,67
990,14,78,32,49,67
1020,14,78,32,49,67
1050,14,78,32,49,68
1080,14,78,32,49,68
1110,14,78,3,49,68
1140,14,78,3,49,68
1170,14,78,3,49,68
1200,14,78,3,49,68
1230,14,78,3,49,68
1260,14,78,3,49,68
1290,14,78,3,49,68
1320,14,78,3,49,68
1350,14,78,3,49,68
1380,14,78,3,49,68
1410,14,78,3,49,68
1440,14,78,3,49,68
1470,14,78,3,49,68
1500,14,78,3,49,68
1530,14,78,3,49,68
1560,14,78,3,49,68
1590,14,78,3,49,68
1620,14,78,3,49,68
1650,14,78,3,49,68
1680,4,78,3,49,68
1710,4,78,3,49,68
1740,4,78,3,49,69
1770,4,78,3,49,69
1800,4,78,3,49,69
1830,4,78,3,49,69
1860,4,78,3,49,69
1890,4,78,3,49,69
1920,14,78,3,49,69
1950,14,78,67,49,69
1980,14,78,3,49,69
2010,14,78,3,49,69
2040,14,78,3,49,69
2070,4,78,3,49,69
2100,14,78,67,49,66
2130,14,78,67,49,66
2160,4,78,67,49,66
2190,4,78,67,49,66
2220,4,78,24,49,66
2250,4,78,24,49,83
2280,56,78,19,49,83
2310,56,78,19,49,83
2340,56,78,19,49,83
2370,9,78,24,49,83
2400,9,78,24,49,83
2430,9,78,24,49,83
2460,9,78,24,49,83
2490,9,78,24,49,83
2520,9,78,25,49,83
2550,56,78,32,49,83
2580,56,35,32,49,83
2610,56,35,32,49,83
2640,6,35,32,49,83
2670,6,35,32,49,83
2700,4,35,4,49,83
2730,4,35,4,49,83
2760,14,42,4,49,83
2790,14,42,4,49,83
2820,14,42,4,49,83
2850,14,42,4,49,83
2880,14,42,4,49,83
2910,14,42,14,49,83
2940,14,94,14,49,83
2970,14,94,4,49,83
3000,14,5,14,49,83
3030,14,5,14,49,83
3060,14,5,4,49,83
3090,4,5,4,49,83
3120,4,5,14,49,83
3150,4,89,14,49,83
3180,6,89,14,49,83
3210,6,89,4,49,29
3240,6,89,6,49,29
3270,6,89,17,49,29
3300,6,89,17,49,29
3330,6,89,17,49,69
3360,6,89,6,49,69
3390,6,89,6,49,69
3420,17,89,6,49,69
3450,9,89,6,49,58
3480,9,89,6,49,58
3510,9,89,6,49,58
3540,9,89,17,49,77
3570,9,89,17,49,77
3600,9,89,17,49,77
3630,9,89,6,49,77
3660,9,89,6,49,77
3690,9,89,6,49,77
3720,17,89,6,49,77
3750,17,89,6,49,77
3780,17,89,6,49,58
3810,17,89,6,49,58
3840,17,89,6,49,58
3870,6,89,6,49,58
3900,6,89,6,49,58
3930,9,89,17,49,58
3960,17,89,17,49,58
3990,17,89,17,49,58
4020,56,89,17,49,58
4050,56,89,17,49,58
4080,56,89,17,49,58
4110,17,94,6,49,81
4140,17,89,6,49,81
4170,6,89,6,49,81
4200,6,89,6,49,81
4230,6,94,17,49,81
4260,6,94,17,49,65
4290,6,94,17,49,65
4320,6,94,17,49,81
4350,6,94,6,49,81
4380,6,94,6,49,81
4410,6,94,6,49,81
4440,6,94,6,49,81
4470,6,94,6,49,81
4500,6,89,6,49,81
4530,6,89,6,49,81
4560,6,89,6,49,81
4590,6,89,6,49,81
4620,6,89,6,49,81
4650,6,89,6,49,81
4680,6,89,6,49,81
4710,6,5,6,49,81
4740,6,5,4,49,81
4770,6,5,4,49,81
4800,6,5,14,49,81
4830,6,5,14,49,81
4860,6,5,14,49,81
4890,6,5,14,49,81
4920,17,5,4,49,80
4950,17,5,14,49,80
4980,6,5,14,49,80
5010,17,94,14,49,65
5040,17,94,6,49,65
5070,17,94,6,49,65
5100,17,94,6,49,65
5130,6,94,6,49,81
5160,6,94,6,49,81
5190,4,94,6,49,81
5220,6,94,6,49,58
5250,6,94,6,49,81
5280,6,94,6,49,81
5310,6,94,6,49,81
5340,6,42,6,49,81
5370,6,42,6,49,81
5400,6,42,6,49,81
5430,6,42,6,49,81
5460,6,42,6,49,81
5490,6,42,6,49,81
5520,6,42,6,49,81
5550,6,42,6,49,81
5580,6,42,6,49,81
5610,6,42,6,49,81
5640,6,42,6,49,81
5670,6,42,6,49,81
5700,6,42,14,49,77
5730,6,42,14,49,77
5760,6,42,4,49,77
5790,6,42,4,49,77
5820,6,42,4,49,77
5850,6,94,4,49,77
5880,6,94,4,49,77
5910,6,94,4,49,77
5940,6,94,4,49,77
5970,6,94,4,49,77
6000,6,94,6,49,77
6030,6,94,6,49,58
6060,6,94,6,49,58
6090,6,94,6,49,58
6120,17,63,6,49,65
6150,17,63,17,49,58
6180,17,63,14,49,58
6210,17,63,14,49,58
6240,6,63,14,49,58
6270,6,62,14,49,58
6300,6,62,14,49,58
6330,6,39,4,49,58
6360,6,5,4,49,58
6390,6,5,4,49,81
6420,6,5,4,49,80
6450,17,5,4,49,80
6480,17,5,4,49,80
6510,6,5,4,49,64
6540,6,5,4,49,64
6570,6,5,4,49,64
6600,6,5,4,49,64
6630,6,5,6,49,64
