t,p0,p1,p2,p3,p4
0,52,20,15,15,52
30,52,20,15,15,52
60,52,20,15,15,52
90,52,20,99,15,52
120,52,20,98,15,52
150,52,20,98,15,52
180,52,20,98,15,52
210,52,20,98,14,52
240,52,20,98,14,52
270,52,20,98,14,52
300,52,20,98,14,52
330,52,20,98,14,52
360,52,20,98,45,52
390,52,20,98,45,52
420,52,8,98,45,52
450,52,8,98,45,52
480,52,8,98,9,52
510,52,8,98,9,52
540,52,8,98,9,52
570,52,8,3,9,52
600,52,8,93,9,52
630,52,80,57,9,52
660,52,80,57,9,52
690,52,80,57,9,52
720,52,80,57,18,52
750,52,80,57,18,52
780,52,80,3,98,52
810,52,66,3,98,52
840,52,66,3,99,52
870,52,66,3,99,52
900,52,66,3,99,52
930,52,66,3,99,52
960,52,66,3,99,52
990,52,66,3,99,52
1020,52,66,99,99,52
1050,52,66,99,99,52
1080,52,66,98,99,52
1110,52,66,98,99,52
1140,52,66,9,9,52
1170,52,66,9,9,52
1200,52,66,18,9,52
1230,52,66,18,9,52
1260,52,66,18,9,52
1290,52,66,18,9,52
1320,52,66,18,9,52
1350,52,66,18,18,52
1380,52,66,18,18,52
1410,52,66,18,18,52
1440,52,66,18,18,52
1470,52,66,18,18,52
1500,52,66,18,18,52
1530,52,66,3,18,52
1560,52,66,3,18,52
1590,52,66,3,18,52
1620,52,66,3,18,52
1650,52,66,99,18,52
1680,52,66,99,18,52
1710,52,66,18,18,52
1740,52,66,59,18,52
1770,52,66,59,18,52
1800,52,66,59,18,52
1830,52,66,59,18,52
1860,52,66,59,18,52
1890,52,66,85,18,52
1920,52,66,85,18,52
1950,52,63,85,18,52
1980,52,63,85,18,52
2010,52,63,85,18,52
2040,52,63,85,18,52
2070,52,56,85,18,52
2100,52,63,85,18,52
2130,52,63,85,18,52
2160,52,66,85,18,52
2190,52,66,92,18,52
2220,52,66,92,18,52
2250,52,66,92,18,52
2280,52,66,92,18,52
2310,52,80,89,18,52
2340,52,80,89,18,52
2370,52,8,89,18,52
2400,52,8,89,18,52
2430,52,8,89,9,52
2460,52,8,89,9,52
2490,52,8,89,45,52
2520,52,8,29,45,52
2550,52,8,29,45,52
2580,52,8,29,14,52
2610,52,8,29,14,52
2640,52,8,29,45,52
2670,52,8,29,45,52
2700,52,8,29,45,52
2730,52,8,29,45,52
2760,52,8,29,45,52
2790,52,8,96,45,52
2820,52,8,96,45,52
2850,52,8,96,99,52
2880,52,80,96,99,52
2910,52,80,96,98,52
2940,52,80,96,98,52
2970,52,80,96,98,52
3000,52,80,96,93,52
3030,52,80,96,93,52
3060,52,80,96,93,52
3090,52,80,96,93,52
3120,52,5,96,93,52
3150,52,5,96,93,52
3180,52,75,96,93,52
3210,52,75,96,93,52
3240,52,75,96,93,52
3270,52,75,29,22,52
3300,52,75,29,22,52
3330,52,75,29,35,52
3360,52,70,29,35,52
3390,52,70,43,35,52
3420,52,70,43,31,52
3450,52,28,43,31,52
3480,52,28,43,31,52
3510,52,28,43,57,52
3540,52,28,43,57,52
3570,52,70,38,57,52
3600,52,70,38,93,52
3630,52,70,26,6,52
3660,52,70,26,6,52
