id,x0,y0,x1,y1
99,144,98,156,98
98,116,164,116,166
97,122,122,122,124
96,154,96,152,96
95,108,148,106,148
94,74,76,74,78
93,104,80,104,80
92,72,162,72,160
91,82,138,80,138
90,100,90,104,82
89,102,166,102,164
88,94,96,98,96
87,78,166,76,166
86,94,140,92,140
85,80,166,78,166
84,150,118,152,118
83,104,78,100,78
82,86,160,86,158
81,98,112,98,114
80,78,110,78,126
79,100,118,92,126
78,90,164,94,166
77,124,94,126,94
76,80,166,78,164
75,108,126,108,128
74,110,174,112,174
73,82,172,80,170
72,166,96,164,96
71,84,164,82,166
70,160,114,160,116
69,118,120,120,120
68,84,90,84,88
67,110,114,112,114
66,98,146,92,134
65,82,166,82,172
64,148,108,148,110
63,88,92,88,94
62,114,116,114,118
61,130,128,132,128
60,172,84,172,86
59,92,130,92,132
28,120,102,120,104
27,164,80,166,80
26,78,88,86,92
25,98,168,100,170
24,134,94,132,94
23,162,98,170,94
22,174,90,176,90
21,78,144,78,148
20,130,108,132,108
19,86,116,88,116
18,74,152,74,152
17,90,156,86,156
16,130,168,130,166
15,122,124,124,124
14,102,140,104,138
13,176,100,176,102
0,172,152,170,152
1,184,122,176,132
2,110,148,106,150
3,176,122,178,118
4,166,114,172,114
5,106,150,102,154
6,82,82,84,84
7,124,144,124,146
8,150,148,152,148
9,86,158,88,158
10,90,96,92,96
11,118,120,118,122
12,114,140,112,146
29,154,84,154,82
30,78,98,78,100
31,88,78,122,78
32,122,78,128,76
33,94,96,94,94
34,132,132,130,132
35,84,90,84,88
36,76,158,76,156
37,112,96,104,96
38,100,156,112,156
39,98,168,94,172
40,102,104,102,106
41,142,142,136,142
42,140,136,140,138
43,140,122,148,122
44,92,88,92,86
45,100,162,96,160
46,150,170,154,172
47,126,128,126,130
48,146,100,144,106
49,86,160,84,158
50,138,92,138,90
51,100,164,100,162
52,146,170,148,170
53,130,78,142,78
54,82,88,80,88
55,112,136,114,136
56,84,150,84,152
57,154,164,158,156
58,162,152,158,150
