t,p0,p1,p2,p3,p4
0,88,22,42,9,22
30,88,22,76,9,22
60,1,22,23,9,22
90,23,22,23,9,22
120,23,22,84,9,22
150,23,22,84,9,22
180,23,22,84,9,22
210,84,22,84,9,22
240,84,22,84,9,22
270,84,22,84,9,22
300,84,22,84,9,22
330,83,9,84,9,9
360,83,9,7,9,9
390,83,9,7,9,9
420,83,9,7,9,9
450,83,39,7,9,9
480,83,39,7,9,39
510,83,30,7,9,39
540,83,30,7,9,34
570,83,30,39,9,34
600,83,39,39,30,34
630,54,39,7,30,34
660,54,39,7,30,34
690,54,39,7,30,34
720,45,39,20,39,39
750,45,39,20,39,39
780,83,34,20,39,39
810,83,34,20,39,39
840,83,34,39,34,39
870,54,34,39,34,34
900,54,34,39,34,39
930,54,34,34,34,39
960,83,34,34,34,39
990,83,34,39,34,39
1020,83,34,39,34,34
1050,83,34,34,34,34
1080,83,34,34,34,39
1110,83,34,34,34,34
1140,83,34,34,34,34
1170,83,34,34,55,34
1200,83,55,27,55,39
1230,83,55,27,55,39
1260,83,55,27,55,39
1290,83,55,55,55,39
1320,83,55,55,55,39
1350,83,27,41,27,39
1380,83,27,27,27,39
1410,83,27,27,34,39
1440,83,39,27,34,39
1470,83,39,27,27,39
1500,83,39,27,27,77
1530,83,35,27,27,77
1560,83,35,27,27,77
1590,83,35,27,27,77
1620,83,35,27,27,77
1650,83,35,27,55,77
1680,83,35,27,55,77
1710,16,35,35,41,77
1740,16,35,35,41,77
1770,16,35,35,41,77
1800,28,35,35,41,77
1830,28,35,35,41,77
1860,28,35,35,41,77
1890,16,35,35,41,77
1920,16,35,35,41,77
1950,28,35,35,41,77
1980,28,35,35,56,77
2010,28,35,35,56,77
2040,28,35,35,56,77
2070,28,35,27,41,77
2100,24,35,27,41,77
2130,16,35,6,10,77
2160,16,35,27,56,77
2190,16,35,27,56,77
2220,16,35,27,56,77
2250,5,35,35,56,39
2280,5,35,35,7,39
2310,84,35,35,7,39
2340,84,35,35,9,39
2370,84,27,35,9,39
2400,84,27,35,9,39
2430,84,55,35,9,39
2460,84,55,35,9,40
2490,84,55,77,9,40
2520,84,55,77,9,40
2550,84,39,77,9,34
2580,84,39,77,9,39
2610,84,20,77,9,75
2640,84,20,77,9,75
2670,84,20,77,9,75
2700,84,20,77,9,75
2730,56,20,77,98,75
2760,56,20,85,98,75
2790,56,20,85,98,75
2820,56,20,85,98,75
2850,56,7,85,98,2
2880,56,7,85,98,75
2910,56,7,85,69,75
2940,57,7,19,69,75
2970,56,12,19,94,75
3000,57,12,19,94,47
3030,54,23,19,94,47
3060,54,23,85,94,47
3090,54,23,85,94,47
3120,61,23,19,94,15
3150,61,23,19,94,15
3180,61,23,19,94,48
3210,61,23,19,94,48
3240,61,23,19,52,48
3270,61,23,19,52,48
3300,61,23,19,52,48
3330,54,23,94,52,48
3360,54,23,94,19,48
3390,61,23,19,19,48
3420,61,86,19,19,48
3450,61,86,19,19,48
3480,61,48,52,19,48
3510,61,48,52,19,48
3540,61,48,52,19,48
3570,54,48,52,19,48
3600,61,48,52,19,48
3630,61,48,52,19,15
3660,61,48,52,19,15
3690,54,48,52,19,13
3720,54,48,52,19,13
3750,61,48,19,19,13
3780,61,48,19,19,13
3810,61,48,19,19,13
3840,61,48,19,19,13
3870,61,48,19,19,13
3900,61,48,19,52,13
3930,61,48,52,52,48
3960,61,48,19,19,48
3990,61,48,52,19,48
4020,61,48,19,82,73
4050,61,48,19,82,73
4080,61,48,19,82,15
4110,61,48,19,82,15
4140,61,13,19,82,53
4170,61,13,19,82,8
4200,54,13,19,97,13
4230,54,48,19,97,48
4260,54,48,19,97,48
4290,61,48,19,97,74
4320,61,48,19,19,74
4350,61,48,19,19,74
4380,61,48,19,19,63
4410,61,48,19,19,63
4440,61,48,19,19,63
4470,61,48,19,19,63
4500,61,48,19,19,46
4530,61,48,19,19,46
4560,61,48,19,19,46
4590,61,48,19,19,46
4620,61,15,19,19,46
4650,61,48,19,19,46
4680,61,48,19,19,46
4710,61,48,19,19,46
4740,61,48,19,19,46
4770,61,48,19,19,46
4800,61,74,19,52,46
4830,54,74,52,52,73
4860,61,74,52,52,73
4890,68,60,52,19,74
4920,68,60,52,52,74
4950,68,60,52,52,74
4980,68,60,52,52,74
5010,68,60,52,52,60
5040,68,60,52,52,60
5070,68,47,52,52,75
5100,68,47,52,52,75
5130,68,47,52,19,2
5160,36,47,52,69,47
5190,36,47,52,69,47
5220,61,47,52,69,47
5250,61,47,52,85,47
5280,61,47,52,85,47
5310,61,60,52,85,47
5340,61,60,52,85,47
5370,61,60,52,19,47
5400,61,60,19,19,47
5430,61,47,19,19,47
5460,61,47,19,19,47
5490,68,47,94,19,47
5520,68,47,19,19,47
5550,68,60,19,19,47
5580,68,60,19,19,13
5610,68,60,19,19,13
5640,36,60,52,19,13
5670,67,60,52,19,13
5700,67,60,19,19,13
5730,36,47,19,19,13
5760,36,47,19,19,13
5790,67,47,19,19,47
5820,67,53,19,19,47
5850,67,53,19,19,47
5880,67,53,19,85,47
5910,67,53,91,85,47
5940,67,53,91,52,47
5970,67,53,77,52,47
6000,67,53,77,52,47
6030,67,53,77,77,47
6060,67,53,77,77,47
6090,67,53,19,77,47
6120,67,53,19,77,47
6150,67,53,55,77,47
6180,67,53,55,52,47
6210,67,73,55,52,47
6240,54,60,27,52,47
6270,54,60,19,19,47
6300,10,60,19,19,47
6330,10,60,19,19,47
6360,54,60,6,85,47
6390,54,47,6,6,47
6420,54,47,6,6,47
6450,54,60,39,6,47
6480,54,60,39,6,47
6510,54,60,39,6,47
6540,54,2,39,6,47
6570,54,47,39,6,47
6600,61,47,39,6,48
6630,61,47,39,6,48
6660,61,47,34,98,48
6690,61,47,34,98,48
6720,61,47,34,98,48
6750,61,47,34,98,48
6780,61,47,34,98,47
6810,61,47,34,98,47
6840,61,47,27,94,47
6870,61,47,27,94,47
6900,54,47,27,94,47
6930,54,63,27,94,73
6960,54,63,27,94,73
6990,54,63,27,94,53
7020,54,63,77,94,53
7050,61,63,77,94,53
7080,61,48,6,94,48
7110,61,48,6,94,25
7140,61,25,6,6,25
7170,61,25,6,6,25
7200,61,25,6,94,25
7230,61,53,6,94,25
7260,61,53,6,94,25
7290,61,11,6,94,53
7320,61,11,6,94,11
7350,57,11,6,94,11
7380,57,11,19,94,11
7410,54,11,19,94,25
7440,61,8,94,94,25
7470,61,8,94,94,25
7500,61,8,94,94,13
7530,61,8,77,94,8
7560,61,53,85,19,13
7590,61,53,85,19,13
7620,61,8,85,19,13
7650,61,48,85,19,53
7680,61,48,77,19,53
