t,p0,p1,p2,p3,p4
0,9,88,95,23,86
30,9,88,95,23,86
60,9,88,95,23,86
90,9,23,95,23,86
120,9,23,95,23,86
150,9,23,95,84,86
180,9,84,16,84,86
210,9,84,16,84,86
240,9,84,16,83,86
270,9,84,16,83,86
300,9,84,16,83,86
330,9,84,16,83,86
360,9,23,16,16,28
390,9,23,16,16,28
420,9,23,16,83,53
450,9,23,16,83,53
480,69,23,16,83,28
510,69,23,16,83,28
540,69,23,16,83,28
570,69,23,16,83,59
600,69,23,16,83,59
630,69,23,16,16,59
660,69,23,16,16,59
690,69,23,16,16,59
720,69,23,16,16,59
750,94,23,16,16,59
780,94,23,28,16,59
810,98,23,28,28,59
840,98,23,28,28,59
870,94,23,28,28,59
900,94,23,28,28,59
930,94,23,28,48,59
960,94,23,75,48,59
990,94,23,75,2,59
1020,94,23,75,2,24
1050,94,23,75,2,24
1080,94,23,75,2,24
1110,94,23,75,28,24
1140,94,23,75,28,87
1170,94,23,75,2,24
1200,94,23,75,28,28
1230,94,23,75,28,28
1260,94,23,75,28,28
1290,94,23,75,28,28
1320,94,23,75,28,28
1350,94,23,75,28,28
1380,94,23,75,28,28
1410,94,23,75,28,28
1440,94,23,75,59,87
1470,94,23,75,59,87
1500,94,23,75,59,28
1530,94,23,75,59,59
1560,94,23,75,59,59
1590,94,23,59,24,24
1620,94,23,75,24,24
1650,94,23,75,24,87
1680,94,23,75,59,59
1710,94,23,75,59,59
1740,94,23,75,59,59
1770,94,23,75,59,59
1800,94,23,75,59,59
1830,94,23,75,87,59
1860,94,23,75,87,59
1890,94,23,59,87,59
1920,94,23,59,87,59
1950,94,23,59,87,59
1980,94,23,59,59,59
2010,94,23,59,60,44
2040,94,23,59,53,44
2070,94,23,24,53,64
2100,94,23,24,47,64
2130,94,23,24,15,44
2160,94,23,24,15,44
2190,94,23,24,15,50
2220,94,23,28,15,50
2250,94,23,28,60,50
2280,94,23,28,60,50
2310,94,23,28,59,50
2340,94,23,28,59,50
2370,94,23,28,59,50
2400,52,23,28,59,50
2430,52,23,28,59,50
2460,52,23,86,59,50
2490,52,84,86,28,37
2520,52,84,86,28,24
2550,52,84,86,28,24
2580,52,84,86,28,24
2610,52,84,86,75,24
2640,85,84,86,75,24
2670,19,84,86,86,87
2700,19,84,86,86,87
2730,19,41,86,86,87
2760,19,41,6,86,87
2790,19,56,6,86,28
2820,19,56,6,53,28
2850,19,56,6,28,28
2880,19,56,94,28,28
2910,94,56,94,28,28
2940,94,56,94,28,86
2970,6,56,94,59,86
3000,98,57,94,59,75
3030,98,57,94,59,75
3060,6,54,94,59,75
3090,6,61,94,59,75
3120,6,61,94,28,75
3150,94,54,94,28,75
3180,94,54,94,28,75
3210,19,54,19,60,75
3240,19,61,19,60,47
3270,19,61,19,2,47
3300,19,61,19,2,47
3330,19,61,19,53,47
3360,19,61,19,53,47
3390,19,61,19,53,47
3420,19,61,77,53,47
3450,19,61,77,48,47
3480,19,61,77,48,53
3510,19,61,19,48,53
3540,19,68,19,53,50
3570,19,68,19,50,50
3600,19,68,19,63,50
3630,19,68,19,15,50
3660,19,68,19,13,50
3690,19,61,19,13,60
3720,19,61,19,46,48
3750,19,61,19,46,48
3780,52,61,19,60,48
3810,52,61,19,60,48
3840,52,61,19,60,48
3870,19,54,19,60,73
3900,19,61,19,60,73
3930,19,61,19,60,73
3960,19,54,19,60,46
3990,19,54,19,48,46
4020,19,54,19,48,63
4050,52,54,19,48,63
4080,52,54,19,48,63
4110,52,54,19,46,13
4140,19,61,19,46,13
4170,52,61,19,46,13
4200,52,61,52,46,60
4230,52,61,52,46,60
4260,52,61,19,46,60
4290,52,61,94,46,73
4320,52,61,94,46,50
4350,52,61,94,46,60
4380,52,61,19,46,63
4410,52,61,19,13,63
4440,52,61,19,60,63
4470,52,61,19,60,63
4500,52,61,19,60,75
4530,52,61,19,60,75
4560,52,61,19,60,75
4590,52,61,19,75,75
4620,52,61,19,75,75
4650,52,54,19,53,13
4680,52,61,19,53,13
4710,52,61,19,60,13
4740,52,61,19,60,47
4770,52,61,19,47,47
4800,52,61,19,53,47
4830,52,68,19,53,47
4860,52,68,19,53,47
4890,52,68,52,53,60
4920,52,68,52,60,60
4950,52,68,52,60,60
4980,52,61,52,60,60
5010,52,68,52,47,47
5040,19,68,19,47,47
5070,19,68,19,47,47
5100,85,67,19,60,47
5130,85,67,19,60,47
5160,85,67,19,60,60
5190,85,61,19,60,60
5220,85,61,19,60,60
5250,85,61,19,60,47
5280,85,61,19,2,13
5310,52,61,19,2,47
5340,52,61,19,2,47
5370,19,61,94,2,47
5400,19,61,94,28,47
5430,19,54,94,60,47
5460,19,54,19,60,47
5490,19,54,19,24,47
5520,52,54,19,28,13
5550,85,54,19,28,13
5580,85,54,77,28,75
5610,85,54,77,28,75
5640,85,54,77,28,75
5670,85,54,77,28,75
5700,85,54,77,28,2
5730,85,54,77,28,2
5760,85,54,77,48,2
5790,85,54,77,48,47
5820,91,54,77,2,47
5850,19,54,19,2,47
5880,19,54,19,28,47
5910,19,54,85,59,47
5940,19,54,85,17,47
5970,91,54,85,17,75
6000,91,54,52,17,75
6030,91,61,52,17,75
6060,91,61,77,17,48
6090,91,61,77,17,48
6120,91,61,77,17,63
6150,91,61,77,45,63
6180,91,61,77,45,63
6210,85,54,77,36,63
6240,85,54,77,71,63
6270,85,61,91,71,63
6300,85,61,91,71,63
6330,85,61,6,71,15
6360,85,61,6,45,15
6390,91,61,6,64,48
6420,91,61,6,64,48
6450,91,61,6,44,48
6480,19,61,6,44,48
6510,19,61,6,44,13
6540,19,61,6,44,48
6570,19,61,6,50,48
6600,6,61,6,50,48
6630,85,61,98,92,48
6660,85,61,98,50,48
6690,77,61,6,50,48
6720,77,61,6,15,48
6750,91,61,6,15,48
6780,91,61,6,15,8
6810,77,61,6,15,8
6840,77,61,6,15,8
6870,77,61,6,8,11
6900,77,61,6,8,11
6930,19,61,6,11,11
6960,19,61,6,11,11
6990,85,61,6,11,11
7020,85,61,6,11,11
7050,19,61,6,74,49
7080,19,61,6,74,49
7110,19,61,6,8,25
7140,52,61,6,8,74
7170,19,61,6,8,74
7200,19,61,6,74,74
7230,19,61,34,8,74
7260,19,61,34,8,74
7290,19,61,91,8,60
7320,19,61,34,74,60
7350,19,10,34,74,86
7380,19,10,39,25,86
7410,19,56,39,25,86
7440,19,56,34,25,86
7470,19,56,34,25,86
7500,19,56,34,25,86
7530,19,56,39,50,86
7560,19,56,39,50,86
7590,19,54,34,50,86
7620,19,54,34,50,86
7650,19,10,9,15,86
7680,19,54,39,53,86
7710,19,61,39,53,86
7740,19,61,6,53,81
7770,19,61,6,53,93
7800,19,61,6,48,93
7830,19,61,6,53,93
7860,19,61,94,8,93
7890,19,61,94,8,93
7920,19,61,94,8,93
7950,19,61,94,8,93
7980,19,54,94,8,93
8010,19,54,6,8,93
8040,19,54,6,8,29
8070,19,61,6,8,29
8100,52,61,6,8,29
8130,52,61,6,13,47
8160,52,61,6,15,47
8190,52,61,6,15,47
8220,52,54,6,15,47
8250,52,54,6,13,47
8280,52,68,91,13,47
8310,52,68,91,47,47
8340,52,68,91,47,47
8370,52,68,91,47,47
8400,19,68,91,47,47
8430,19,68,91,47,47
8460,19,68,91,47,47
8490,19,68,91,47,13
8520,19,68,91,47,13
8550,77,68,91,47,47
8580,77,68,91,60,47
8610,19,68,6,47,47
8640,19,36,6,47,47
8670,52,36,6,47,47
8700,52,36,6,47,49
8730,52,36,19,47,49
8760,19,36,19,47,49
8790,52,36,52,50,49
8820,52,36,52,50,15
8850,52,67,52,92,15
8880,85,67,77,92,15
8910,85,67,77,92,73
8940,19,67,19,92,73
8970,19,67,19,92,73
9000,19,67,19,50,73
9030,19,67,19,50,73
9060,19,54,19,50,73
9090,19,54,19,50,73
9120,19,61,19,50,73
9150,52,61,52,73,73
9180,52,54,52,63,47
9210,52,54,19,47,47
9240,52,54,19,47,73
9270,19,54,19,50,73
9300,52,54,94,47,73
9330,52,61,94,60,13
9360,52,54,94,60,13
9390,52,54,94,47,47
9420,52,61,94,47,47
9450,52,61,94,59,47
9480,52,61,94,59,47
9510,52,61,6,59,47
9540,52,61,6,59,47
9570,52,61,6,17,47
9600,52,61,6,17,48
9630,52,61,6,17,48
9660,52,61,77,17,13
9690,52,61,77,17,13
9720,52,67,77,28,13
9750,52,67,77,28,13
9780,52,68,77,83,13
9810,52,61,77,83,73
9840,52,61,39,83,73
9870,52,64,39,83,73
9900,52,64,34,61,73
9930,52,64,34,61,73
9960,52,64,34,61,73
9990,52,64,34,18,73
10020,52,64,34,18,73
10050,52,64,39,18,73
10080,19,64,39,18,73
10110,19,36,39,18,73
10140,19,36,39,18,48
10170,19,36,39,36,48
10200,94,36,6,61,13
10230,94,54,6,61,13
10260,94,54,39,68,15
10290,94,68,39,68,15
10320,52,68,39,68,15
10350,52,61,39,68,15
10380,52,61,39,68,48
10410,52,68,34,68,13
10440,52,68,34,61,13
10470,52,68,34,61,47
10500,52,68,34,61,47
10530,52,68,34,61,47
10560,19,68,34,61,47
10590,19,68,55,61,47
10620,19,68,55,61,47
10650,52,68,55,34,47
10680,52,10,39,34,47
10710,52,10,39,55,47
10740,52,10,39,27,47
10770,52,10,39,6,47
10800,52,10,39,6,47
10830,52,10,6,6,47
10860,52,10,6,27,47
10890,19,10,6,27,47
10920,19,10,6,27,47
10950,19,10,27,27,47
10980,52,10,27,27,47
11010,52,10,27,27,47
11040,52,61,27,27,47
11070,19,61,27,27,47
11100,19,61,27,35,47
11130,19,61,27,35,47
11160,19,61,27,35,47
11190,19,61,27,35,47
11220,19,61,27,35,47
11250,52,61,27,27,47
11280,52,61,6,27,47
11310,52,61,77,77,47
11340,52,61,77,77,47
11370,52,61,77,77,47
11400,19,61,77,77,50
11430,19,61,77,77,50
11460,19,61,77,39,73
11490,19,61,77,39,49
11520,19,61,77,34,49
11550,19,61,77,34,49
11580,19,61,77,34,49
11610,19,61,77,34,49
11640,19,61,85,35,49
11670,19,61,85,35,73
11700,19,61,85,35,73
11730,19,61,85,35,93
11760,19,61,85,35,93
11790,19,68,85,35,93
11820,19,68,85,35,93
11850,19,68,85,35,93
11880,19,68,19,36,93
11910,19,67,19,36,93
11940,19,67,19,36,93
11970,19,36,19,36,93
12000,19,36,52,36,93
12030,19,36,52,36,93
12060,19,36,94,36,93
12090,52,36,19,36,93
12120,52,36,19,36,93
12150,52,36,19,36,93
12180,52,36,19,36,93
12210,52,36,19,36,97
12240,52,36,52,36,97
12270,52,36,52,36,97
12300,52,67,52,91,97
12330,19,67,19,91,48
12360,19,67,19,91,60
12390,52,67,94,77,60
12420,52,67,94,77,60
12450,52,67,94,77,60
12480,52,67,94,77,60
12510,52,67,94,77,48
12540,19,67,94,77,48
12570,19,67,94,77,48
12600,19,67,94,77,48
12630,52,67,94,85,48
12660,52,67,52,85,48
12690,52,67,52,85,48
12720,19,54,19,91,48
12750,94,54,91,91,48
12780,94,61,91,91,48
12810,52,61,91,34,15
12840,52,61,91,34,15
12870,69,61,91,34,15
12900,69,61,6,34,48
12930,52,61,6,34,48
12960,52,61,91,6,48
12990,52,61,91,6,48
13020,94,61,6,6,48
13050,94,61,6,6,48
