id,x0,y0,x1,y1
98,144,76,150,78
97,74,76,76,78
96,84,90,84,88
95,104,82,104,80
94,158,80,162,82
93,76,86,76,84
92,100,162,96,160
91,164,98,160,96
90,84,88,78,88
89,124,168,122,168
88,88,90,84,90
87,96,142,92,140
86,78,104,78,122
85,178,90,178,92
84,96,102,98,104
83,104,120,106,122
82,78,78,74,76
81,78,88,78,84
80,78,88,86,92
79,102,174,106,172
78,82,88,84,86
77,162,98,170,94
76,78,88,86,92
75,82,136,80,140
74,84,170,82,166
73,82,158,84,162
72,94,172,96,172
71,118,138,114,140
70,110,170,108,172
69,146,78,150,78
68,126,128,124,132
67,134,132,132,130
66,80,166,78,166
65,156,170,158,168
64,110,148,106,150
63,76,154,78,156
62,160,154,162,152
61,122,120,122,122
60,78,150,80,148
59,94,140,96,142
28,90,134,90,136
27,148,110,156,110
26,98,96,100,94
25,84,164,82,166
24,98,146,92,134
23,94,94,94,96
22,88,78,120,78
21,90,164,98,168
20,134,94,130,92
19,172,86,172,84
18,142,142,134,144
17,104,138,102,140
16,98,120,96,122
15,80,160,78,160
14,84,164,82,166
13,76,166,76,164
0,98,96,100,94
1,94,92,94,96
2,84,144,80,140
3,72,162,70,158
4,104,82,104,78
5,100,94,100,90
6,154,86,154,84
7,98,96,118,96
8,80,166,78,166
9,130,78,132,78
10,118,118,116,120
11,80,172,82,172
12,86,94,84,94
29,74,80,72,78
30,138,92,136,94
31,174,114,176,114
32,146,142,148,144
33,158,150,156,148
34,146,100,144,106
35,160,114,156,116
36,132,130,132,132
37,100,168,100,166
38,152,168,154,168
39,144,98,146,100
40,136,94,132,92
41,122,108,130,108
42,90,84,86,92
43,150,170,154,172
44,100,166,100,168
45,114,128,112,134
46,74,152,76,154
47,78,146,80,148
48,74,160,74,160
49,90,164,92,166
50,90,156,86,156
51,82,136,80,140
52,168,82,176,90
53,82,142,82,164
54,114,120,116,120
55,144,106,148,110
56,110,114,112,114
57,114,116,114,120
58,132,130,132,132
