id,x0,y0,x1,y1
98,158,80,162,82
98,156,82,154,82
98,138,76,140,78
98,156,82,154,82
98,144,76,150,78
98,148,76,146,76
98,146,76,144,76
98,142,76,144,76
98,144,76,146,80
98,146,78,150,80
98,154,80,158,78
98,128,72,130,72
98,140,76,142,78
98,144,78,142,76
98,148,80,152,82
98,144,78,140,76
98,154,80,150,78
98,148,78,148,76
98,150,80,150,78
98,140,78,142,82
98,142,78,142,76
98,148,76,148,78
98,142,76,144,80
98,154,80,158,80
98,148,78,150,80
98,150,78,154,80
98,146,76,146,76
98,140,76,144,78
98,146,76,152,78
98,154,80,156,80
98,150,76,146,76
98,150,78,150,80
98,136,76,140,78
98,144,78,148,80
98,148,80,152,82
98,152,82,154,82
98,140,76,144,78
98,140,74,138,74
98,138,74,140,76
98,146,78,150,78
98,150,78,158,80
98,144,76,146,78
98,136,76,136,74
98,136,74,140,74
98,140,74,140,76
98,144,76,148,78
98,148,78,152,80
98,136,74,138,76
98,142,76,144,78
98,148,78,152,80
98,152,80,154,80
98,156,80,154,80
98,142,78,146,80
98,146,80,150,82
98,136,76,140,78
98,142,76,146,78
98,150,76,148,76
98,152,80,154,80
98,152,80,154,80
98,152,80,152,80
98,152,80,150,80
98,150,80,154,82
98,154,82,156,82
98,140,76,142,78
98,144,76,148,78
98,148,78,148,76
98,148,78,148,76
97,76,82,78,88
97,74,76,82,148
97,74,80,82,148
97,80,82,76,78
97,76,78,76,78
97,74,76,78,78
97,76,78,90,92
97,84,82,88,86
97,76,80,78,82
97,82,82,86,86
97,82,82,84,84
97,74,76,74,78
97,74,78,138,98
97,80,88,82,92
97,74,74,84,84
97,84,84,88,86
97,74,76,78,138
97,70,74,72,76
97,72,76,76,78
97,76,78,80,82
97,80,82,88,88
97,72,78,84,84
97,84,84,88,88
97,76,78,78,80
97,78,80,82,82
97,82,82,84,84
97,74,76,82,146
97,74,78,92,80
97,80,82,84,86
97,74,78,78,80
97,78,80,80,82
97,76,78,80,80
97,80,80,84,82
97,78,80,82,84
97,80,82,82,82
97,82,82,82,82
97,74,78,80,146
97,86,86,88,88
97,76,80,78,84
97,74,76,74,80
97,74,76,74,78
97,76,78,86,84
97,86,84,88,86
97,72,78,142,96
97,72,78,120,114
97,76,82,78,86
97,74,76,80,146
97,70,74,74,76
97,72,76,120,122
97,74,76,120,118
97,0,0,0,0
97,76,78,84,82
97,74,78,76,80
97,76,80,84,84
97,84,84,88,88
97,74,76,162,76
97,74,78,80,90
97,74,74,174,94
97,74,76,76,76
97,76,76,100,110
97,74,76,90,130
97,76,76,76,78
97,74,74,174,104
97,76,76,78,78
97,78,78,84,84
97,74,74,74,76
97,72,78,114,122
97,74,76,94,90
97,74,74,76,78
97,76,78,78,80
97,72,76,74,78
97,78,80,82,82
97,84,86,96,98
97,94,116,74,74
97,74,74,76,78
97,74,78,80,140
97,84,78,88,82
97,74,74,172,92
97,114,160,74,74
97,74,74,100,156
97,72,76,76,78
97,76,78,80,82
97,80,82,82,82
97,82,82,86,84
97,72,78,80,80
97,84,86,76,78
97,76,78,136,92
97,72,78,132,94
97,74,74,126,126
97,74,74,110,178
97,74,76,102,114
97,70,76,74,78
97,74,80,74,102
97,76,76,78,78
97,74,78,74,108
97,72,76,120,166
97,74,74,110,130
97,76,78,78,80
97,78,80,82,82
97,82,82,86,84
97,74,76,110,114
97,74,74,76,78
97,78,78,88,88
97,76,80,78,82
97,82,82,84,84
97,84,84,88,86
97,92,116,74,74
97,76,76,96,122
97,76,78,80,80
97,72,78,136,94
97,84,86,88,90
97,74,74,88,126
97,80,82,76,78
97,80,78,86,80
97,84,84,88,88
97,70,74,72,76
97,76,78,76,78
97,76,76,80,78
97,82,82,82,82
97,76,80,84,84
97,82,82,88,88
97,76,78,76,78
97,76,78,78,80
97,78,80,82,82
97,72,78,74,80
97,74,74,110,138
97,74,76,76,78
97,76,78,80,80
97,80,80,84,84
97,74,74,74,82
97,74,78,94,130
97,76,80,78,86
97,74,74,130,130
97,76,78,80,80
97,80,80,84,84
97,74,74,104,128
97,112,128,76,78
97,76,78,114,116
97,72,74,80,82
97,104,140,74,74
97,80,82,90,90
97,72,78,74,80
97,78,80,82,82
97,84,86,92,94
97,74,74,106,120
97,72,78,134,94
97,74,74,78,172
97,74,74,78,78
97,78,78,82,80
97,82,80,88,86
97,76,76,78,78
97,76,76,80,78
97,80,78,84,80
97,74,74,76,102
97,0,0,0,0
97,86,86,88,88
97,88,80,98,84
97,74,74,82,170
97,74,74,76,78
97,78,78,82,80
97,80,78,82,80
97,82,80,86,82
97,70,74,74,74
97,86,82,90,84
97,74,74,110,136
97,74,76,102,110
97,70,76,142,96
97,80,82,84,84
97,84,84,86,86
97,72,76,76,78
97,76,76,98,98
97,74,78,74,82
97,74,76,170,84
97,74,78,74,82
97,74,74,74,88
97,72,74,76,78
97,76,78,88,82
97,74,76,94,126
97,72,78,76,82
97,76,82,82,92
97,74,76,94,130
97,70,76,74,80
97,82,82,86,86
97,72,74,76,76
97,76,76,78,78
97,78,78,82,80
97,82,80,86,84
97,80,82,78,80
97,72,78,76,80
97,72,78,76,82
97,82,82,82,84
97,74,74,76,78
97,76,78,76,78
97,74,74,74,80
97,82,84,80,82
97,72,78,74,80
97,72,84,74,80
97,74,80,74,96
97,74,76,80,146
97,84,84,90,90
97,74,78,76,82
97,76,82,80,90
97,74,74,88,88
97,76,76,94,76
97,74,76,94,128
97,74,78,78,80
97,78,80,84,86
97,80,82,82,84
97,70,76,74,74
97,74,74,74,76
97,74,76,76,76
97,76,76,80,78
97,100,144,74,74
97,74,74,140,92
97,74,74,92,100
97,72,78,94,96
97,74,76,80,146
97,76,78,168,84
97,76,76,82,78
97,74,76,92,100
97,74,78,74,86
97,74,74,104,140
97,72,78,168,82
97,74,78,76,80
97,76,80,80,82
97,74,74,94,130
97,72,76,170,82
97,74,74,98,108
97,74,78,76,80
97,74,74,82,78
97,72,74,74,76
97,74,76,74,88
97,74,76,74,80
97,74,74,74,80
97,74,80,76,100
97,74,76,76,80
97,76,82,80,90
97,74,76,94,130
97,72,78,120,120
97,74,74,88,96
97,74,76,76,78
97,74,80,74,92
97,80,88,82,92
97,72,78,78,80
97,74,76,122,120
97,74,74,82,96
97,94,74,90,74
97,82,84,84,86
97,74,74,74,76
97,74,76,90,128
97,108,114,76,78
97,76,78,144,96
97,70,74,76,74
