t,p0,p1,p2,p3,p4
0,129,57,57,103,52
30,129,57,57,103,52
60,129,131,115,103,52
90,129,131,115,103,98
120,129,115,115,103,98
150,129,115,113,103,98
180,129,113,113,103,98
210,129,113,113,103,98
240,129,86,113,103,98
270,5,86,102,103,98
300,5,86,102,103,98
330,5,86,102,103,78
360,5,86,30,103,78
390,5,86,30,103,34
420,81,86,30,103,34
450,81,86,30,103,34
480,81,86,30,103,34
510,81,86,30,103,34
540,81,86,30,103,34
570,81,86,30,103,94
600,81,86,9,103,94
630,81,86,9,103,94
660,81,30,1,103,94
690,81,30,1,103,94
720,81,30,1,103,143
750,81,30,1,103,143
780,81,30,1,103,143
810,81,30,104,103,143
840,81,30,104,103,143
870,81,30,104,103,143
900,81,113,104,103,143
930,81,113,104,103,143
960,81,113,104,103,143
990,81,113,78,103,143
1020,81,113,78,103,143
1050,81,113,78,103,88
1080,81,113,78,103,88
1110,81,113,78,103,88
1140,81,113,78,103,88
1170,81,113,78,103,88
1200,81,113,108,103,88
1230,81,113,108,103,88
1260,81,113,144,103,88
1290,81,113,144,103,88
1320,81,113,144,103,88
1350,81,113,144,103,88
1380,81,113,144,103,88
1410,81,113,144,103,88
1440,81,113,144,103,88
1470,81,113,144,103,88
1500,81,113,144,103,88
1530,81,113,144,103,88
1560,81,113,144,103,88
1590,81,113,144,103,88
1620,81,113,143,103,88
1650,81,113,66,103,88
1680,81,113,66,103,88
1710,81,113,66,103,88
1740,81,113,66,103,149
1770,81,113,66,103,149
1800,81,113,66,103,61
1830,81,113,66,103,61
1860,81,113,66,103,61
1890,81,113,143,103,61
1920,81,113,143,103,61
1950,81,113,143,103,61
1980,81,113,144,103,61
2010,81,113,144,103,61
2040,81,113,144,103,61
2070,81,113,144,103,61
2100,42,113,143,103,106
2130,42,113,35,103,106
2160,81,113,35,103,106
2190,81,113,35,103,106
2220,63,113,35,103,106
2250,63,113,35,103,74
2280,50,113,35,103,73
2310,50,113,35,103,73
2340,50,113,35,103,73
2370,50,113,34,103,73
2400,50,113,34,103,73
2430,50,113,34,103,73
2460,50,113,34,103,73
2490,50,113,34,103,73
2520,50,113,78,103,73
2550,50,113,78,103,73
2580,50,113,78,103,73
2610,50,113,96,103,73
2640,63,30,96,103,73
2670,63,30,96,103,73
2700,63,30,81,103,73
2730,63,30,81,103,73
2760,81,30,81,103,73
2790,81,86,81,103,73
2820,81,86,81,103,73
2850,81,86,81,103,73
2880,81,86,81,103,73
2910,81,86,81,103,73
2940,81,86,81,103,73
2970,81,48,81,103,73
3000,81,48,81,103,73
3030,81,48,81,103,73
3060,81,48,81,103,73
3090,81,48,81,103,73
3120,81,48,81,103,73
3150,81,48,81,103,73
3180,63,48,81,103,73
3210,63,48,81,103,53
3240,63,48,63,103,53
3270,63,48,63,103,53
3300,63,48,63,103,53
3330,63,48,63,103,53
3360,63,48,63,103,53
