t,p0,p1,p2,p3,p4
0,111,150,24,73,150
30,111,150,160,73,150
60,8,150,153,73,150
90,7,150,153,73,150
120,7,150,28,73,150
150,7,150,28,73,150
180,7,150,28,73,150
210,7,150,28,73,150
240,7,150,53,73,150
270,28,150,53,73,150
300,28,150,53,73,150
330,29,150,53,73,150
360,29,73,53,73,73
390,62,84,53,73,73
420,62,84,156,73,73
450,62,139,156,73,73
480,62,139,11,73,139
510,62,138,11,73,139
540,62,138,11,73,89
570,60,138,11,73,89
600,60,139,11,84,89
630,161,139,11,84,89
660,161,139,11,138,89
690,161,139,11,138,89
720,60,139,139,138,89
750,60,139,139,138,89
780,60,138,139,139,139
810,60,89,139,139,139
840,60,89,139,89,138
870,60,89,139,89,89
900,60,89,139,89,139
930,60,89,40,89,139
960,62,89,40,89,138
990,62,89,139,89,138
1020,62,89,139,89,89
1050,62,89,89,89,89
1080,62,89,89,89,89
1110,62,89,89,89,89
1140,62,89,89,89,89
1170,62,89,89,109,89
1200,62,109,70,109,138
1230,62,109,70,109,138
1260,62,109,70,109,138
1290,62,109,109,125,138
1320,62,109,109,125,138
1350,62,70,154,193,138
1380,62,70,70,193,138
1410,62,70,70,89,138
1440,62,139,70,89,138
1470,62,139,70,70,138
1500,62,139,70,46,104
1530,62,46,70,46,104
1560,62,46,70,46,104
1590,62,46,70,46,104
1620,62,46,70,46,104
1650,62,46,154,193,104
1680,62,46,154,193,104
1710,173,46,136,193,104
1740,194,46,136,193,104
1770,194,46,46,193,104
1800,93,46,46,193,104
1830,93,46,46,193,104
1860,93,46,46,193,104
1890,29,46,46,193,104
1920,29,46,46,193,104
1950,149,46,46,193,104
1980,149,46,46,193,104
2010,51,46,46,193,104
2040,51,46,46,193,104
2070,51,46,46,151,104
2100,72,46,46,151,104
2130,93,46,119,118,104
2160,93,46,70,11,104
2190,29,46,46,11,104
2220,29,46,46,11,104
2250,29,46,46,11,138
2280,29,46,46,11,138
2310,153,46,46,11,138
2340,153,46,46,11,138
2370,153,46,46,11,138
2400,153,46,46,11,138
2430,153,46,46,11,138
2460,92,46,46,11,138
2490,92,46,136,11,138
2520,7,46,136,11,138
2550,7,139,136,11,89
2580,7,139,136,137,139
2610,7,83,136,137,178
2640,7,83,138,137,178
2670,7,83,138,137,178
2700,7,83,80,73,178
2730,7,11,80,147,178
2760,7,11,80,147,178
2790,7,11,80,147,178
2820,7,11,164,147,178
2850,7,11,164,147,129
2880,7,11,164,147,178
2910,185,11,164,137,178
2940,189,11,82,137,178
2970,177,21,82,187,178
3000,189,21,82,187,191
3030,194,153,82,187,191
3060,194,153,142,187,50
3090,194,153,142,187,50
3120,118,153,97,187,41
3150,67,153,97,187,41
3180,67,153,96,187,41
3210,67,153,96,187,41
3240,67,153,96,187,41
3270,67,153,96,187,41
3300,67,153,96,49,41
3330,67,153,174,49,41
3360,67,21,174,159,41
3390,118,21,80,159,41
3420,118,41,80,169,41
3450,118,41,80,82,41
3480,118,127,141,82,41
3510,118,127,141,82,41
3540,118,127,141,82,41
3570,194,127,141,82,191
3600,140,127,141,165,41
3630,140,127,141,165,41
3660,140,127,141,80,41
3690,67,127,141,80,64
3720,67,127,141,80,64
3750,128,127,80,80,64
3780,122,127,97,80,64
3810,122,127,97,80,64
3840,118,127,97,142,64
3870,118,127,80,142,64
3900,122,127,80,148,64
3930,122,127,141,148,41
3960,122,127,80,80,41
3990,122,127,141,80,41
4020,118,127,82,165,41
4050,118,127,82,165,41
4080,118,127,159,165,41
4110,118,57,159,165,41
4140,118,64,141,165,41
4170,118,64,141,165,13
4200,140,64,159,159,64
4230,140,41,159,159,41
4260,140,41,159,159,41
4290,140,41,159,159,41
4320,140,41,159,159,41
4350,140,41,159,159,41
4380,140,41,159,159,64
4410,140,41,159,159,64
4440,140,41,159,159,149
4470,140,41,159,159,149
4500,140,41,159,159,170
4530,140,41,159,159,170
4560,128,41,159,159,170
4590,128,41,159,159,170
4620,128,41,82,159,170
4650,128,41,82,159,170
4680,128,41,82,159,170
4710,128,41,82,159,170
4740,128,41,82,159,170
4770,128,124,82,159,170
4800,128,41,82,96,170
4830,67,41,82,96,170
4860,128,41,82,96,170
4890,122,126,165,96,41
4920,122,126,165,96,41
4950,122,124,49,96,41
4980,122,124,49,96,41
5010,122,124,159,49,76
5040,122,124,159,159,76
5070,122,50,159,159,178
5100,122,50,49,80,178
5130,122,76,49,82,51
5160,42,76,49,159,50
5190,42,50,49,159,50
5220,128,50,49,159,50
5250,128,50,49,164,50
5280,128,50,49,164,50
5310,128,41,49,164,126
5340,128,41,49,164,126
5370,128,41,49,169,50
5400,128,41,97,169,50
5430,128,76,97,82,50
5460,128,76,80,82,50
5490,37,76,148,80,50
5520,37,76,80,80,76
5550,131,191,80,80,76
5580,37,191,80,80,152
5610,37,61,80,80,152
5640,125,61,165,80,152
5670,122,61,165,80,152
5700,122,61,80,80,152
5730,125,50,80,80,152
5760,125,50,80,80,152
5790,32,50,80,80,191
5820,32,41,80,80,191
