id,x0,y0,x1,y1
198,78,124,78,126
197,146,140,152,140
196,124,138,124,144
195,102,116,102,118
194,136,108,130,108
193,84,150,84,144
192,136,112,132,114
191,142,142,136,142
190,148,110,146,108
189,136,142,132,144
188,144,116,144,116
187,92,86,92,84
186,104,168,100,164
185,74,78,138,98
184,76,160,80,162
183,148,118,148,118
182,144,98,158,100
181,106,150,102,154
180,120,80,120,78
179,132,128,132,128
178,78,86,78,84
177,166,96,164,96
176,156,170,156,172
175,78,84,74,80
174,122,148,122,150
173,76,78,74,76
172,122,106,112,96
171,150,146,146,146
170,96,168,98,168
169,98,156,100,156
168,104,156,102,160
167,98,168,94,172
166,112,158,132,158
165,112,156,110,156
164,100,174,100,172
163,164,116,164,116
162,176,134,176,136
161,98,168,100,172
160,158,118,160,118
159,148,122,152,126
158,154,164,158,156
157,100,168,104,170
156,136,94,132,92
155,104,170,108,168
154,158,100,166,96
153,128,108,126,108
152,102,152,102,154
151,156,150,156,150
150,122,122,124,124
149,144,100,144,106
148,96,158,96,160
147,100,78,102,78
146,126,128,126,130
145,156,110,156,110
144,136,94,132,92
143,82,166,84,168
142,88,78,120,78
141,100,170,100,170
140,148,110,156,110
139,98,96,100,94
138,82,166,82,172
137,154,80,156,80
136,78,168,78,162
135,106,82,106,80
134,102,164,102,166
133,74,160,76,156
132,160,80,162,80
131,76,138,78,138
130,80,156,80,160
129,94,126,94,128
128,84,164,82,166
127,88,162,90,164
58,168,96,168,94
57,106,160,106,160
56,112,130,112,134
55,116,120,114,124
54,116,164,116,166
53,112,116,114,116
52,86,160,86,152
51,144,106,148,110
50,132,92,132,94
49,160,96,158,100
48,114,140,112,146
47,112,134,114,136
46,114,124,114,128
45,116,122,114,118
44,74,78,138,98
43,102,174,104,174
42,76,164,72,162
41,86,174,90,176
40,106,164,104,164
39,136,134,140,138
38,92,148,96,146
37,138,130,136,134
36,124,124,128,126
35,100,150,100,146
34,100,146,100,144
33,132,130,132,132
32,150,148,148,148
31,142,122,140,122
30,110,174,120,120
29,112,174,112,172
12,128,164,120,166
11,122,116,124,116
10,84,136,84,126
9,92,78,120,78
8,84,156,84,154
7,78,150,78,152
6,88,136,86,136
5,90,156,86,156
4,76,156,76,154
3,86,160,84,158
2,84,168,88,172
1,176,100,176,102
0,94,166,96,168
13,144,158,146,162
14,172,156,174,156
15,132,130,126,128
16,172,114,176,118
17,178,118,178,112
18,176,122,178,118
19,130,160,132,162
20,124,132,122,136
21,110,148,106,150
22,144,90,148,88
23,100,102,108,110
24,84,154,84,152
25,120,138,118,138
26,110,168,110,168
27,154,170,156,170
28,162,152,160,152
59,102,140,104,138
60,164,88,166,88
61,90,164,94,166
62,138,78,140,78
63,88,170,92,174
64,80,90,84,92
65,98,168,100,172
66,82,118,86,114
67,90,164,94,166
68,72,162,70,158
69,144,88,146,88
70,104,120,106,124
71,94,92,94,96
72,94,96,94,90
73,118,110,116,110
74,76,166,76,164
75,78,88,80,90
76,80,136,80,138
77,76,164,72,162
78,78,166,76,166
79,80,166,78,166
80,158,100,166,96
81,128,76,146,76
82,86,94,84,94
83,78,146,78,148
84,100,78,98,82
85,118,132,120,128
86,80,98,82,98
87,80,90,80,98
88,88,90,86,94
89,92,108,92,108
90,86,100,88,100
91,96,104,98,106
92,76,106,76,108
93,122,78,128,76
94,108,110,100,102
95,108,114,106,114
96,94,90,96,88
97,112,126,110,128
98,116,120,114,124
99,122,170,122,170
100,154,104,156,104
101,112,114,114,114
102,84,90,84,88
103,96,96,98,96
104,86,92,88,92
105,88,90,84,90
106,74,170,74,168
107,170,82,170,84
108,178,90,178,92
109,168,82,174,88
110,154,82,158,86
111,172,86,170,86
112,110,98,112,98
113,92,138,88,138
114,98,172,96,172
115,86,86,88,88
116,94,142,94,140
117,138,92,138,94
118,90,156,92,156
119,102,154,102,152
120,128,126,130,128
121,82,152,82,150
122,80,140,78,144
123,128,126,130,128
124,82,172,80,170
125,118,98,118,100
126,88,170,88,168
