t,p0,p1,p2,p3,p4
0,97,161,224,259,105
30,97,161,224,259,105
60,97,161,224,259,105
90,97,161,224,259,156
120,97,161,224,259,156
150,97,161,224,259,80
180,97,161,224,259,182
210,63,161,10,259,122
240,63,161,10,259,182
270,287,161,10,259,182
300,287,161,10,259,182
330,287,161,10,259,28
360,287,63,155,259,28
390,287,63,155,259,28
420,287,161,155,259,28
450,287,161,155,259,28
480,287,287,155,259,26
510,253,287,155,259,26
540,253,287,155,259,28
570,287,287,7,259,28
600,118,118,7,259,124
630,118,118,7,259,124
660,243,253,7,259,114
690,243,253,7,259,114
720,243,253,7,259,114
750,243,253,7,259,114
780,243,253,7,259,102
810,243,253,163,259,102
840,243,253,163,259,114
870,243,253,163,259,114
900,243,96,163,259,114
930,225,253,220,259,114
960,243,253,220,259,114
990,243,253,90,259,114
1020,243,253,90,259,114
1050,243,253,90,259,114
1080,225,253,90,259,114
1110,225,253,252,259,114
1140,12,253,252,259,114
1170,12,239,252,259,114
1200,12,239,252,259,114
1230,12,239,252,259,114
1260,239,239,252,259,114
1290,239,239,252,259,114
1320,239,239,252,259,114
1350,239,239,7,259,114
1380,239,22,7,259,182
1410,239,22,7,259,182
1440,104,22,7,259,102
1470,104,22,7,259,102
1500,104,22,9,259,102
1530,104,22,9,259,124
1560,104,22,230,259,124
1590,280,22,230,259,124
1620,280,22,230,259,124
1650,280,22,230,259,124
1680,280,22,230,259,124
1710,110,22,230,259,124
1740,110,22,230,259,124
1770,101,22,100,259,124
1800,101,22,100,259,124
1830,101,22,216,259,124
1860,101,22,216,259,124
1890,101,22,216,259,124
1920,101,22,216,259,124
1950,110,22,216,259,124
1980,101,22,216,259,124
2010,101,22,216,259,124
2040,101,22,261,259,124
2070,101,22,261,259,124
2100,101,22,261,259,124
2130,22,22,261,259,124
2160,22,22,261,259,124
2190,22,22,261,259,124
2220,22,22,261,259,124
2250,22,22,261,259,124
2280,22,22,216,259,124
2310,22,22,216,259,124
2340,22,22,216,259,124
2370,22,22,216,259,124
2400,22,22,216,259,122
2430,22,22,216,259,122
2460,22,22,216,259,122
2490,22,22,265,259,122
2520,22,22,265,259,182
2550,22,22,78,259,182
2580,22,22,78,259,92
2610,22,22,228,259,92
2640,22,104,228,259,182
2670,22,104,276,259,28
2700,22,104,276,259,114
2730,22,104,226,259,127
2760,22,104,226,259,127
2790,76,104,226,259,127
2820,76,104,226,259,127
2850,76,104,176,259,11
2880,76,104,176,259,127
2910,76,104,234,259,26
2940,76,290,234,259,23
2970,76,290,234,259,26
3000,76,290,234,259,23
3030,22,290,234,259,93
3060,22,290,54,259,141
3090,241,290,54,259,141
3120,241,290,54,259,27
3150,292,290,2,259,27
3180,244,290,2,259,27
3210,244,30,2,259,27
3240,244,30,2,259,27
3270,244,30,2,259,25
3300,244,30,2,259,58
3330,244,183,2,259,58
3360,244,183,2,259,58
3390,183,183,2,259,58
3420,183,292,2,259,58
3450,183,292,283,259,93
3480,227,244,283,259,93
3510,227,244,42,259,93
3540,227,244,42,259,25
3570,227,244,42,259,25
3600,227,244,148,259,27
3630,227,244,148,259,27
3660,227,244,202,259,27
3690,34,244,235,259,27
3720,34,244,235,259,36
3750,243,244,160,259,36
3780,243,244,160,259,36
3810,225,244,235,259,251
3840,225,244,235,259,36
3870,225,244,235,259,27
3900,253,244,235,259,27
3930,253,183,235,259,52
3960,253,183,235,259,3
3990,253,183,235,259,3
4020,253,183,235,259,3
4050,253,34,235,259,3
4080,253,34,235,259,3
4110,253,34,235,259,3
4140,12,34,235,259,257
4170,253,34,235,259,257
4200,253,34,235,259,27
4230,22,34,235,259,27
4260,244,34,220,259,27
4290,244,34,220,259,58
4320,244,34,252,259,58
4350,22,34,40,259,58
4380,22,34,40,259,141
4410,22,34,252,259,93
4440,238,30,252,259,93
4470,238,30,252,259,93
4500,238,30,160,259,93
4530,253,30,85,259,48
4560,253,30,85,259,48
4590,81,30,252,259,48
4620,81,30,252,259,180
4650,22,183,160,259,257
4680,22,183,160,259,257
4710,258,34,42,259,27
4740,258,34,233,259,27
4770,253,34,233,259,27
4800,253,34,233,259,25
4830,22,30,233,259,25
4860,22,30,233,259,25
4890,118,30,233,259,25
4920,118,12,199,259,251
4950,118,12,199,259,251
4980,118,243,90,259,33
5010,118,243,90,259,33
5040,118,12,252,259,33
5070,118,12,252,259,33
5100,118,34,252,259,33
5130,118,34,90,259,33
5160,118,12,90,259,33
5190,118,12,1,259,251
5220,118,290,1,259,251
5250,118,290,148,259,251
5280,118,290,148,259,251
5310,118,290,148,259,251
5340,118,290,148,259,251
5370,118,290,148,259,251
5400,253,290,235,259,127
5430,253,290,235,259,127
5460,253,290,235,259,127
5490,253,290,235,259,127
5520,253,12,235,259,127
5550,253,12,18,259,127
5580,253,12,220,259,127
5610,253,12,220,259,127
5640,253,12,18,259,11
5670,253,12,18,259,11
5700,253,12,145,259,11
5730,253,12,203,259,251
5760,243,30,203,259,127
5790,243,30,203,259,127
5820,243,30,203,259,127
5850,81,243,203,259,23
5880,81,243,203,259,23
5910,81,244,203,259,23
5940,284,254,203,259,23
5970,284,183,203,259,23
6000,238,30,203,259,141
6030,238,30,203,259,141
6060,238,30,145,259,27
6090,253,30,145,259,27
6120,253,30,145,259,27
6150,287,30,145,259,27
6180,287,30,177,259,73
6210,159,244,177,259,73
6240,159,244,177,259,27
6270,159,254,177,259,27
6300,159,254,177,259,73
6330,159,254,177,259,73
6360,159,254,177,259,73
6390,159,183,100,259,73
6420,159,12,100,259,73
6450,159,290,100,259,72
6480,87,290,100,259,72
6510,87,290,272,259,64
6540,87,290,272,259,64
6570,87,290,272,259,65
6600,87,290,272,259,65
6630,87,290,271,259,3
6660,87,290,271,259,3
6690,159,290,271,259,52
6720,159,290,271,259,52
6750,159,290,271,259,52
6780,159,290,271,259,52
6810,22,290,271,259,52
6840,22,241,271,259,52
6870,191,241,271,259,64
6900,191,241,271,259,64
6930,191,241,271,259,64
6960,191,241,271,259,27
6990,191,183,283,259,180
7020,191,183,277,259,257
7050,191,221,277,259,257
7080,191,221,277,259,257
7110,191,221,277,259,257
7140,191,221,277,259,33
7170,191,268,277,259,33
7200,191,268,235,259,25
7230,284,268,235,259,251
7260,284,264,220,259,251
7290,284,264,220,259,26
7320,238,221,220,259,26
7350,238,221,7,259,26
7380,15,221,7,259,23
7410,191,221,7,259,127
7440,191,221,7,259,127
7470,191,221,7,259,127
7500,191,221,7,259,33
7530,191,221,7,259,33
7560,191,254,40,259,281
7590,76,254,40,259,4
7620,76,244,40,259,141
7650,191,244,40,259,141
7680,191,244,220,259,141
7710,191,244,220,259,141
7740,99,292,148,259,141
7770,99,227,148,259,141
7800,99,227,231,259,141
7830,99,227,202,259,27
7860,99,263,202,259,27
7890,99,263,90,259,27
7920,99,22,90,259,27
7950,99,22,252,259,27
7980,99,292,252,259,27
8010,99,292,7,259,27
8040,99,241,7,259,27
8070,99,241,7,259,52
8100,99,241,252,259,52
8130,99,244,252,259,270
8160,183,244,5,259,270
8190,183,254,5,259,257
8220,183,254,5,259,257
8250,254,254,5,259,257
8280,254,254,2,259,257
8310,15,254,2,259,257
8340,244,292,2,259,257
8370,292,244,2,259,27
8400,221,15,2,259,27
8430,221,15,2,259,73
8460,221,264,2,259,73
8490,221,264,283,259,73
8520,264,264,7,259,270
8550,264,264,7,259,270
8580,264,264,7,259,270
8610,264,221,7,259,270
8640,264,221,277,259,270
8670,45,221,277,259,270
8700,268,221,289,259,270
8730,268,221,289,259,274
8760,268,221,289,259,270
8790,45,45,289,259,270
