id,x0,y0,x1,y1
294,174,114,176,116
293,98,144,96,140
292,174,92,174,90
291,100,170,98,172
290,164,80,166,82
289,84,158,86,158
288,118,138,122,136
287,144,90,146,90
286,88,136,82,136
285,128,146,126,142
284,150,80,156,86
283,78,144,78,148
282,162,112,164,112
281,114,120,118,120
280,138,92,138,94
279,78,88,86,92
278,82,136,80,140
277,80,156,82,158
276,114,136,124,136
275,142,122,140,122
274,142,120,140,122
273,124,124,128,126
272,76,144,78,146
271,74,78,74,80
270,128,126,132,124
269,152,128,156,132
268,176,102,176,104
267,78,88,86,92
266,134,148,132,152
265,100,142,98,142
264,174,98,176,102
263,168,94,166,96
262,92,172,94,172
261,94,140,94,138
260,116,132,120,130
259,74,74,76,76
258,154,82,158,86
257,124,124,122,122
126,84,138,86,136
125,82,134,82,118
124,96,98,98,100
123,108,126,108,130
122,94,92,94,96
121,78,138,82,134
120,120,110,118,110
119,116,120,114,116
118,156,86,160,86
117,124,110,122,108
116,100,90,104,82
115,82,118,86,114
114,96,104,98,106
113,82,124,80,122
112,88,100,90,98
111,102,142,102,144
110,130,106,130,106
109,94,82,92,86
108,74,80,78,88
107,74,168,72,168
106,76,164,72,162
105,88,92,88,92
104,146,76,146,76
103,94,90,94,92
102,94,92,94,90
101,144,98,146,100
100,90,156,90,156
99,158,100,166,96
98,100,162,100,150
97,110,76,108,76
96,160,80,160,78
95,100,82,98,82
94,70,158,72,154
93,120,120,122,122
92,100,94,100,90
91,82,96,82,98
90,82,166,80,164
89,80,90,80,98
88,100,110,98,112
87,122,96,124,94
86,80,166,78,166
85,80,168,76,164
84,92,104,90,106
83,176,120,176,112
82,132,162,128,172
81,160,86,156,86
80,88,90,92,98
79,108,128,110,130
78,104,138,106,136
77,80,156,78,158
76,168,92,168,90
75,90,150,88,150
74,106,136,104,138
73,122,124,130,128
72,130,130,128,130
71,100,146,100,144
70,158,116,158,114
69,116,166,114,168
68,122,136,118,138
67,122,136,118,138
66,128,164,120,166
65,126,128,124,132
64,136,130,136,130
63,88,78,124,78
62,150,170,152,170
61,120,166,116,166
60,96,160,94,158
59,162,114,154,118
28,102,114,102,116
27,122,122,122,124
26,112,116,114,116
25,122,120,120,120
