t,p0,p1,p2,p3,p4
0,28,139,164,165,114
30,28,139,164,165,114
60,28,139,164,165,114
90,28,139,164,165,55
120,28,139,164,165,55
150,28,139,164,165,124
180,28,139,164,165,124
210,28,139,264,165,154
240,28,139,264,165,207
270,143,139,264,165,265
300,143,139,264,165,265
330,143,139,264,165,221
360,143,141,217,165,221
390,143,141,217,165,181
420,143,44,52,165,181
450,25,44,52,165,181
480,25,25,52,165,181
510,25,25,52,165,181
540,25,27,52,165,225
570,27,27,100,165,225
600,262,292,100,165,219
630,262,292,283,165,219
660,163,262,283,165,219
690,163,262,198,165,219
720,163,262,198,165,219
750,163,262,283,165,219
780,163,151,283,165,124
810,163,151,294,165,124
840,163,151,294,165,207
870,122,151,294,165,207
900,122,148,294,165,207
930,122,151,17,165,207
960,122,151,17,165,207
990,122,151,99,165,207
1020,122,151,99,165,207
1050,122,151,99,165,207
1080,121,151,99,165,207
1110,121,151,120,165,207
1140,31,151,120,165,207
1170,31,151,120,165,207
1200,53,151,120,165,207
1230,53,151,120,165,207
1260,158,158,120,165,207
1290,158,158,120,165,207
1320,158,158,120,165,207
1350,158,158,120,165,207
1380,158,101,120,165,207
1410,158,101,283,165,207
1440,25,101,283,165,207
1470,25,101,283,165,207
1500,25,101,283,165,207
1530,64,101,283,165,207
1560,64,101,57,165,207
1590,64,101,57,165,207
1620,64,101,57,165,207
1650,64,101,57,165,207
1680,64,101,283,165,207
1710,288,101,283,165,207
1740,288,101,283,165,207
1770,42,101,108,165,207
1800,42,101,108,165,207
1830,29,101,183,165,207
1860,29,101,183,165,207
1890,29,101,108,165,207
1920,29,101,108,165,207
1950,82,101,108,165,207
1980,82,101,108,165,207
2010,82,101,108,165,207
2040,82,101,108,165,207
2070,82,101,108,165,207
2100,82,101,108,165,207
2130,82,101,108,165,207
2160,82,101,108,165,207
2190,82,134,105,165,207
2220,134,134,105,165,207
2250,134,101,105,165,207
2280,134,101,108,165,207
2310,134,101,108,165,207
2340,134,101,108,165,207
