id,x0,y0,x1,y1
76,84,82,82,82
75,96,80,98,80
74,174,134,174,142
73,178,92,178,90
72,118,80,120,80
71,92,98,94,98
70,94,128,94,126
69,92,140,92,142
68,134,132,132,132
67,122,106,122,108
66,76,80,78,80
65,78,90,80,90
64,142,82,142,80
63,150,84,148,84
62,154,154,152,154
61,112,156,110,156
60,160,114,160,116
59,106,80,108,80
58,102,114,102,116
57,106,98,108,98
56,118,114,118,116
55,102,106,102,108
54,140,136,140,134
53,96,168,98,168
52,112,116,112,114
51,120,100,120,98
50,148,168,148,166
49,166,124,166,126
48,156,134,156,132
47,164,98,162,98
46,128,78,126,78
45,144,142,146,142
44,92,134,92,136
43,76,76,74,76
42,176,104,174,104
41,120,120,120,122
40,124,126,126,126
39,122,122,122,124
38,98,100,98,102
37,90,84,92,84
36,78,100,78,98
35,78,116,78,118
34,124,142,124,144
33,150,146,150,148
32,98,120,100,120
31,106,124,106,126
30,116,118,114,118
29,116,118,114,118
28,132,94,130,94
27,112,132,112,134
26,78,154,78,156
25,78,162,78,164
24,80,148,80,150
23,82,166,82,168
22,86,94,84,94
21,136,100,138,100
20,118,166,120,166
19,88,156,86,156
18,78,138,78,140
17,102,156,100,156
16,120,136,118,136
15,120,154,122,154
14,140,124,138,124
13,146,112,148,112
12,160,82,162,82
11,132,156,132,154
10,170,84,170,86
9,148,98,150,98
8,154,90,154,88
7,110,138,110,140
6,128,108,130,108
5,90,174,114,174
4,128,128,130,128
3,92,90,92,88
2,102,150,104,150
1,84,130,84,132
0,166,82,168,82
