id,x0,y0,x1,y1
110,74,80,74,78
109,88,88,90,88
108,96,80,98,80
107,160,154,158,154
106,118,80,120,80
105,122,116,122,118
104,122,116,122,118
103,96,100,96,102
102,112,156,114,156
101,128,134,128,132
100,118,118,116,118
99,164,80,162,80
98,168,82,170,82
97,84,82,84,84
96,156,104,156,102
95,134,168,136,168
94,168,114,168,112
93,160,114,160,116
92,106,80,108,80
91,102,114,102,116
90,88,88,88,90
89,98,112,98,114
88,88,88,90,88
87,88,88,88,90
86,86,88,88,88
85,114,110,116,110
84,112,130,112,132
83,164,128,166,128
82,124,94,126,94
81,120,100,120,98
80,148,158,148,160
79,156,134,156,132
78,164,98,162,98
77,132,144,130,144
76,86,162,86,160
75,128,78,126,78
74,146,80,144,80
73,150,86,148,86
72,178,136,178,138
71,152,140,154,140
70,78,152,78,154
69,84,148,84,150
68,92,134,92,136
67,76,76,74,76
66,118,120,120,120
65,118,120,120,120
64,120,120,118,120
63,118,120,120,120
62,122,122,122,124
61,118,120,120,120
60,104,106,104,108
59,88,96,90,96
58,86,88,88,88
57,114,138,116,138
56,78,116,78,118
55,82,92,84,92
54,124,142,124,144
53,150,146,150,148
52,144,138,142,138
51,134,134,136,134
50,152,170,150,170
49,98,120,100,120
48,106,124,106,126
47,90,124,90,126
46,78,138,78,140
45,98,168,96,168
44,84,78,82,78
43,134,100,134,102
42,110,98,112,98
41,118,166,120,166
40,76,166,76,164
39,88,156,86,156
38,78,158,78,160
37,102,156,100,156
36,96,144,96,142
35,82,100,80,100
34,138,90,138,88
33,120,136,118,136
32,140,124,138,124
31,146,112,148,112
30,94,128,94,130
29,78,148,78,146
28,76,86,76,84
27,88,88,88,90
26,86,88,88,88
25,104,138,102,140
24,106,114,108,114
23,118,116,118,114
22,132,156,132,154
21,120,120,118,120
20,148,98,150,98
19,154,90,154,88
18,168,92,168,94
17,80,82,82,82
16,76,100,76,98
15,96,96,98,96
14,128,108,130,108
13,120,120,118,120
12,90,174,114,174
11,114,118,112,116
10,126,126,128,126
9,118,120,120,120
8,92,90,92,88
7,102,150,104,150
6,118,122,120,122
5,84,130,84,132
4,82,168,84,168
3,180,92,178,92
2,174,86,174,84
1,170,86,172,86
0,176,102,176,104
