t,p0,p1,p2,p3,p4
0,42,56,72,81,91
30,42,56,72,81,91
60,42,56,72,81,91
90,42,56,72,81,91
120,42,56,72,81,91
150,42,56,72,81,91
180,42,56,72,81,91
210,42,56,72,81,91
240,42,56,72,81,91
270,42,57,72,81,91
300,42,57,72,81,91
330,42,57,72,81,91
360,42,57,72,81,91
390,42,57,72,81,91
420,42,57,72,81,91
450,42,57,72,81,91
480,42,57,72,81,91
510,42,57,72,81,91
540,42,57,72,81,91
570,42,57,72,81,91
600,42,57,72,81,91
630,42,57,72,81,91
660,42,57,72,81,91
690,42,57,72,81,91
720,42,57,72,81,91
750,42,57,72,81,91
780,42,57,72,81,91
810,42,57,72,81,91
840,42,57,72,81,91
870,42,57,72,81,91
900,42,57,72,81,91
930,42,57,72,81,91
960,42,57,72,81,91
990,42,57,72,81,91
1020,42,57,72,81,91
1050,42,57,72,81,91
1080,42,57,72,81,91
1110,42,57,72,81,91
1140,42,57,72,81,91
1170,42,57,72,81,91
1200,42,57,72,81,91
1230,42,57,72,81,91
1260,42,57,72,81,91
1290,42,57,72,81,91
1320,42,57,72,81,91
1350,42,57,72,81,91
1380,42,57,72,81,91
1410,42,57,72,81,91
1440,42,57,72,81,91
1470,42,57,72,81,91
1500,42,57,72,81,91
1530,42,57,72,81,91
1560,42,57,72,81,91
1590,42,57,72,81,91
1620,42,57,72,81,91
1650,42,57,72,81,91
1680,42,57,72,81,91
1710,42,57,72,81,91
1740,42,57,72,81,91
1770,42,57,72,81,91
1800,42,57,72,81,91
1830,42,57,72,81,91
1860,42,57,72,81,91
1890,42,57,72,81,91
1920,42,57,72,81,91
1950,42,57,72,81,91
1980,42,57,72,81,91
2010,42,57,72,81,91
2040,42,57,72,81,91
2070,42,57,72,81,91
2100,42,57,72,81,91
2130,42,57,72,81,91
2160,42,57,72,81,91
2190,42,57,72,81,91
2220,42,57,72,81,91
2250,42,57,72,81,91
2280,42,57,72,81,91
2310,42,57,72,81,91
2340,42,57,72,81,91
2370,42,57,72,81,91
2400,42,57,72,81,91
2430,42,57,72,81,91
2460,42,57,72,81,91
2490,42,57,72,81,91
2520,42,57,72,81,91
2550,42,57,72,81,91
2580,42,57,72,81,91
2610,42,57,72,81,91
2640,42,57,72,81,91
2670,42,57,72,81,91
2700,42,57,72,81,91
2730,42,57,72,81,91
2760,42,57,72,81,91
2790,42,57,72,81,91
2820,42,57,72,81,91
2850,42,57,72,81,91
2880,42,57,72,81,91
2910,42,57,72,81,91
2940,42,57,72,81,91
2970,42,57,72,81,91
3000,42,57,72,81,91
3030,42,57,72,81,91
3060,42,57,72,81,91
3090,42,57,72,81,91
3120,42,57,72,81,91
3150,42,57,72,81,91
3180,42,57,72,81,91
3210,42,57,72,81,91
3240,42,57,72,81,91
3270,42,57,72,81,91
3300,42,57,72,81,91
3330,42,57,72,81,91
3360,42,58,72,81,91
3390,42,58,72,81,91
3420,42,58,72,81,91
3450,42,58,72,81,91
3480,42,58,72,81,91
3510,42,58,72,81,91
3540,42,58,72,81,91
3570,42,58,72,81,91
3600,42,58,72,81,91
3630,42,58,72,81,91
3660,42,58,72,81,91
3690,42,58,72,81,91
3720,42,58,72,81,91
3750,42,58,72,81,91
3780,42,58,72,81,91
3810,42,58,72,81,91
3840,42,58,72,81,91
3870,42,58,72,81,91
